#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1 -4.152688796169075602e-01 -4.152688796169075602e-01 0.000000000000000000e+00
           2 -3.581142443436732270e-01 -3.866915619802904214e-01 2.020721508897355481e-02
           3 -4.311499851534635885e-01 -4.015110363713481623e-01 1.810778559985076405e-02
           4 -4.587158563061834449e-01 -4.158122413550570107e-01 1.838022147208105694e-02
           5 -3.797454949183386441e-01 -4.085988920677133263e-01 1.605735821438695685e-02
           6 -4.192208075852441596e-01 -4.103692113206351411e-01 1.347836716160194168e-02
           7 -4.037905005844466544e-01 -4.094293955011796271e-01 1.158560541332979629e-02
           8 -3.468062675812836892e-01 -4.016015045111926418e-01 1.250533356121136599e-02
           9 -3.793090756583657464e-01 -3.991245679719896966e-01 1.135850742842206378e-02
          10 -4.361096949735232542e-01 -4.028230806721430080e-01 1.080804359193234497e-02
          11 -3.717191717828050579e-01 -3.999954525912940984e-01 1.018866794370128226e-02
          12 -3.880729626252014675e-01 -3.990019117607863652e-01 9.387929520029035177e-03
          13 -4.722489768535467203e-01 -4.046363013833064182e-01 1.021763582069668171e-02
          14 -4.431132237692761988e-01 -4.073846529823042517e-01 9.850499641143373175e-03
          15 -4.573076644760067921e-01 -4.107128537485510988e-01 9.739836305903954924e-03
          16 -4.770960284656989847e-01 -4.148618021683728174e-01 9.975712312538496246e-03
          17 -4.414779114549702288e-01 -4.164274556558197338e-01 9.510974124392826065e-03
          18 -4.001677902521838526e-01 -4.155241409111732342e-01 9.025381364887046648e-03
          19 -4.274717697546536188e-01 -4.161529634818827428e-01 8.572239182537907259e-03
          20 -3.724072242087507201e-01 -4.139656765182261333e-01 8.418056628592743978e-03
          21 -4.145902838623529707e-01 -4.139954197250892975e-01 8.017249334247992729e-03
          22 -4.228574936952932961e-01 -4.143982412691894490e-01 7.662941982739232376e-03
          23 -4.618173198705126103e-01 -4.164599403388121734e-01 7.602060981031952616e-03
          24 -4.301521543059900754e-01 -4.170304492541112573e-01 7.306684460572456831e-03
          25 -4.101266669457298009e-01 -4.167542979617760435e-01 7.019633619866313609e-03
          26 -4.387064222179418715e-01 -4.175986104331670390e-01 6.800234551003894040e-03
          27 -4.490997337984667936e-01 -4.187653187059559023e-01 6.647706016180470780e-03
          28 -3.815035071489087937e-01 -4.174345397217756326e-01 6.542133842011338581e-03
          29 -4.494988925319108874e-01 -4.185402070600561797e-01 6.409294875675844612e-03
          30 -4.390272226616014350e-01 -4.192231075801076678e-01 6.231926521307615610e-03
          31 -3.753348231597452567e-01 -4.178073564697733500e-01 6.189621064340723039e-03
          32 -3.899366147035497887e-01 -4.169363957895788619e-01 6.057163235666847972e-03
          33 -4.002038817977981999e-01 -4.164293499110400809e-01 5.894797068613489253e-03
          34 -4.271344231915110146e-01 -4.167442050075245152e-01 5.729823093243411464e-03
          35 -4.264596460393605404e-01 -4.170217890370055414e-01 5.572833651475630513e-03
          36 -4.101983187074330073e-01 -4.168322481945174185e-01 5.421255049650957648e-03
          37 -3.878695487296885402e-01 -4.160494725333057642e-01 5.330947646477933628e-03
          38 -3.639271974173609592e-01 -4.146778337144651494e-01 5.364217489562608451e-03
          39 -4.284884678246358991e-01 -4.150319525378028951e-01 5.238348987997238151e-03
          40 -4.051070581804550597e-01 -4.147838301788692172e-01 5.113263232907299186e-03
          41 -4.001217462133382918e-01 -4.144262183748318451e-01 5.001039201602512987e-03
          42 -3.500026393353464771e-01 -4.128923236357964766e-01 5.111791609501115455e-03
          43 -3.957347093591685461e-01 -4.124933093502934911e-01 5.008461576574560307e-03
          44 -3.734298050938650304e-01 -4.116055024353746372e-01 4.972697328918929301e-03
          45 -4.124253412604016455e-01 -4.116237210759307596e-01 4.862226317844320182e-03
          46 -4.225791285327435420e-01 -4.118618821076006076e-01 4.762354962461514893e-03
          47 -4.063365853517675874e-01 -4.117443226021573199e-01 4.662479023094229409e-03
          48 -4.360940601930186067e-01 -4.122516088019669289e-01 4.592857965185944726e-03
          49 -4.184379654319215769e-01 -4.123778609780884286e-01 4.500861096185241293e-03
          50 -4.014891688740241937e-01 -4.121600871360071583e-01 4.416109217453678855e-03
          51 -4.418479367197310492e-01 -4.127422018337272291e-01 4.367716411082833358e-03
          52 -3.885756130234088168e-01 -4.122774597412211528e-01 4.308376105333823307e-03
          53 -4.101484172597149036e-01 -4.122372891283625496e-01 4.227273258189914035e-03
          54 -3.676417433388364242e-01 -4.114114456878157911e-01 4.228889800235417426e-03
          55 -3.412645704549974734e-01 -4.101360479563099792e-01 4.340066306223769495e-03
          56 -4.048017160367452516e-01 -4.100407920291748165e-01 4.263610334248164879e-03
          57 -4.421677181814572810e-01 -4.106044223125482340e-01 4.225900646758639148e-03
          58 -4.152989358111485729e-01 -4.106853622004551507e-01 4.153815350908595522e-03
          59 -3.840494682675567040e-01 -4.102339063710839229e-01 4.107871594632224455e-03
          60 -3.855595087257570053e-01 -4.098226664103284955e-01 4.059939547376618246e-03
          61 -4.201859126940991063e-01 -4.099925556936689364e-01 3.996936112623883722e-03
          62 -3.826682305242873894e-01 -4.095518407715821874e-01 3.956692115543333950e-03
          63 -4.094361524355799031e-01 -4.095500044487884739e-01 3.893887904912460025e-03
          64 -4.208532553410238575e-01 -4.097266177439796153e-01 3.837049100232463317e-03
          65 -4.593671690962085608e-01 -4.104903185340139093e-01 3.853269104570893923e-03
          66 -4.189516225523425286e-01 -4.106185201100491788e-01 3.797018328741136404e-03
          67 -3.479270318667495032e-01 -4.096828262556715394e-01 3.853913176753701996e-03
          68 -3.891109073304786503e-01 -4.093802980361834210e-01 3.809093552503961359e-03
          69 -4.942782306500136391e-01 -4.106107028566737260e-01 3.947611982295396241e-03
          70 -4.325854998447818400e-01 -4.109246285279324340e-01 3.903679714009370468e-03
          71 -3.729385841398892842e-01 -4.103896138182416276e-01 3.885188265462726810e-03
          72 -3.989252115524409281e-01 -4.102303860089944187e-01 3.834488769109203454e-03
          73 -4.637671037087560677e-01 -4.109637657035117297e-01 3.851455699838677617e-03
          74 -4.252614865637309727e-01 -4.111569781475687413e-01 3.804252269927727460e-03
          75 -4.025046433167402959e-01 -4.110416136831576694e-01 3.755277720422153798e-03
          76 -3.954043676360456949e-01 -4.108358604456956997e-01 3.711498544261594701e-03
          77 -4.022919101852240331e-01 -4.107249000527025684e-01 3.664955546502733814e-03
          78 -4.024605943203733438e-01 -4.106189474151085705e-01 3.619500140549481229e-03
          79 -4.103955348113978996e-01 -4.106161194074667287e-01 3.573684787871133067e-03
          80 -3.728128081255430160e-01 -4.101435780164426892e-01 3.560118265834100963e-03
          81 -5.004784994806330545e-01 -4.112588239604450524e-01 3.686711671940551445e-03
          82 -4.319207689398190109e-01 -4.115107988992179333e-01 3.650352457582572031e-03
          83 -4.357832043181537052e-01 -4.118032375187231642e-01 3.618067329500801194e-03
          84 -4.455498308377737193e-01 -4.122049826772833381e-01 3.597230561745005419e-03
          85 -3.741959167315451751e-01 -4.117578171955687538e-01 3.582595578458456099e-03
          86 -4.773088196565161700e-01 -4.125200381544169570e-01 3.621113573197850318e-03
          87 -3.912866111245973944e-01 -4.122759757747638809e-01 3.587707029718717380e-03
          88 -3.978944055442896754e-01 -4.121125488403267201e-01 3.550657885746924623e-03
          89 -3.904518190208027817e-01 -4.118691698535905110e-01 3.519094144862976604e-03
          90 -3.919101792174398136e-01 -4.116474032909666070e-01 3.486973749123290292e-03
          91 -3.827059922086193389e-01 -4.113293658065452219e-01 3.463128656738660195e-03
          92 -3.969890738392634066e-01 -4.111734930677704569e-01 3.428992015309255230e-03
          93 -4.373464800225253524e-01 -4.114549230350258990e-01 3.403650535380677109e-03
          94 -4.402851598461853255e-01 -4.117616276819530685e-01 3.381231904064216018e-03
          95 -4.155515806470169160e-01 -4.118015219236906277e-01 3.345875331697222097e-03
          96 -4.434520503010432324e-01 -4.121312149276213366e-01 3.327226317266418400e-03
          97 -3.958618789475990551e-01 -4.119634898144252655e-01 3.297149807108869842e-03
          98 -3.936756638444286471e-01 -4.117768793453436271e-01 3.268781999563134637e-03
          99 -4.170355623486041718e-01 -4.118299973554775395e-01 3.236195557080225136e-03
         100 -4.656162921317885672e-01 -4.123678603032406853e-01 3.248223103672403730e-03
