#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1 4.823373295652291087e-02 4.823373295652291087e-02 0.000000000000000000e+00
           2 4.579929315659313910e-02 4.701651305655802499e-02 8.607044454605150509e-04
           3 4.878109130284748879e-02 4.760470580532117496e-02 7.482626416446375682e-04
           4 4.730817662850521355e-02 4.753057351111718287e-02 5.648572824426343741e-04
           5 4.640604134145296517e-02 4.730566707718433794e-02 4.946383759047586447e-04
           6 4.666438425091203046e-02 4.719878660613895799e-02 4.235885426812162867e-04
           7 4.456466149557972156e-02 4.682248301891621389e-02 5.031891253052616329e-04
           8 4.477748059074818099e-02 4.656685771539520458e-02 5.010309069225085199e-04
           9 4.721310874394681056e-02 4.663866338523427191e-02 4.504768661819806889e-04
          10 4.679295223382601981e-02 4.665409227009344184e-02 4.056933140699182320e-04
          11 4.539250611035733352e-02 4.653940261920834487e-02 3.846820654647207355e-04
          12 4.737179351781389131e-02 4.660876852742546622e-02 3.588247630936440926e-04
          13 4.768690673374584299e-02 4.669170223560396155e-02 3.406721368906889228e-04
          14 4.641958381618151858e-02 4.667226520564521364e-02 3.168924170481422645e-04
          15 4.869064463574559326e-02 4.680682383431856997e-02 3.230737290202884745e-04
          16 4.522181811646001914e-02 4.670776097695240880e-02 3.177064453484611359e-04
          17 4.618904241843990732e-02 4.667724812056932293e-02 3.004795015983342463e-04
          18 4.382378770741778701e-02 4.651872254206090157e-02 3.229068487933095923e-04
          19 4.813767113545272536e-02 4.660393036276573586e-02 3.169546458541424531e-04
          20 4.674827389645766496e-02 4.661114753945033023e-02 3.011890712689163250e-04
          21 4.749356055350927724e-02 4.665316720678647222e-02 2.897630460782846446e-04
          22 4.753999053576242473e-02 4.669347735810356476e-02 2.793817862378712366e-04
          23 4.933122014707297387e-02 4.680816182718919305e-02 2.898190662035161642e-04
          24 4.487426664226982359e-02 4.672758286115089033e-02 2.887278205835834663e-04
          25 4.692964904894636469e-02 4.673566550866271180e-02 2.772918175114069705e-04
          26 4.749168382147385403e-02 4.676474313607852096e-02 2.681469958832916620e-04
          27 4.752111233309483374e-02 4.679275681004208681e-02 2.596748156097129540e-04
          28 4.418026937101752344e-02 4.669945368721978296e-02 2.666366086769835441e-04
          29 4.623715222800788005e-02 4.668351225759178463e-02 2.579183485379027961e-04
          30 4.670159388079204305e-02 4.668411497836512380e-02 2.493217744913337982e-04
          31 4.619487785240750793e-02 4.666833313559230062e-02 2.417781088450945601e-04
          32 4.620090027378774555e-02 4.665372585866090632e-02 2.346633850231148982e-04
          33 4.684056827375974313e-02 4.665938775002753669e-02 2.276206673591452871e-04
          34 4.709315037792809189e-02 4.667214547437755628e-02 2.212831766475930532e-04
          35 4.752540634371086453e-02 4.669652435635851528e-02 2.162995484121204139e-04
          36 4.635943539042066547e-02 4.668716077397135067e-02 2.104938042486552408e-04
          37 4.632569923212725288e-02 4.667739154311070088e-02 2.050313571372418676e-04
          38 4.789115921638378154e-02 4.670933279767051222e-02 2.021085003443837331e-04
          39 4.548617900427261856e-02 4.667796987989108332e-02 1.993448062020685449e-04
          40 4.717403419525240116e-02 4.669037148777512025e-02 1.947465674222581414e-04
          41 4.817255310648073385e-02 4.672652225896305883e-02 1.933228662725948119e-04
          42 4.777671403028878327e-02 4.675152682494700118e-02 1.903301290368006966e-04
          43 4.531688167816437518e-02 4.671816298432414361e-02 1.888054529533164075e-04
          44 4.642234795361067923e-02 4.671143991544429025e-02 1.846340801504105136e-04
          45 4.563176947086347579e-02 4.668744723889805409e-02 1.820833177946757590e-04
          46 4.659611163668748307e-02 4.668546168232826088e-02 1.781358103792623397e-04
          47 4.573578483902084740e-02 4.666525579204512664e-02 1.754879190312302092e-04
          48 4.764388380617223806e-02 4.668564387567277624e-02 1.730122049383465694e-04
          49 4.508136992198605308e-02 4.665290359090365491e-02 1.725513721585890294e-04
          50 4.982931315978120224e-02 4.671643178228120780e-02 1.804162993207134534e-04
          51 4.724378439075049840e-02 4.672677202950609177e-02 1.771747937026081621e-04
          52 4.584345487254501417e-02 4.670978516110299572e-02 1.745800062392445257e-04
          53 4.792072293566627256e-02 4.673263304364193294e-02 1.727746654304852596e-04
          54 4.576347558340812527e-02 4.671468568326723331e-02 1.705047479019784187e-04
          55 4.762351476410105894e-02 4.673120984837329794e-02 1.682034608452645530e-04
          56 4.395990371808282393e-02 4.668172223890382222e-02 1.723260687562329287e-04
          57 4.831004289044537464e-02 4.671028926787823554e-02 1.716542968051207438e-04
          58 4.788189743551654609e-02 4.673048940869958118e-02 1.698791503101986997e-04
          59 4.636618326602418017e-02 4.672431472831525129e-02 1.671120220612031741e-04
          60 4.882419888826786819e-02 4.675931279764779236e-02 1.679516441438449038e-04
          61 4.846651489887015413e-02 4.678729971733996268e-02 1.675139345369752513e-04
          62 4.518516850567360493e-02 4.676145889134534356e-02 1.667933015244487879e-04
          63 4.893923617113304925e-02 4.679602678467530835e-02 1.676896297955575562e-04
          64 4.664529825196473550e-02 4.679367165135170370e-02 1.650860169511786314e-04
          65 4.937453419494739620e-02 4.683337722894548305e-02 1.672529703821352726e-04
          66 4.678927297667524743e-02 4.683270898269896454e-02 1.647201694248263905e-04
          67 4.616103922228495526e-02 4.682268406090174528e-02 1.625664331686890165e-04
          68 4.836834377685297198e-02 4.684541435084220440e-02 1.617570370750811540e-04
          69 4.912019858385769516e-02 4.687838223827721362e-02 1.627376688996728851e-04
          70 4.589050767993249624e-02 4.686426974458657302e-02 1.610235950399868405e-04
          71 4.685480419657064854e-02 4.686413642700888033e-02 1.587557122710110322e-04
          72 4.676649070060052288e-02 4.686278023636432366e-02 1.565565644302257262e-04
          73 4.973789212891475270e-02 4.690216533078282041e-02 1.592890079980424536e-04
          74 4.582789926931786495e-02 4.688764822184410264e-02 1.577965894784808443e-04
          75 4.725082090105173216e-02 4.689249052423353353e-02 1.557669150756936581e-04
          76 4.647336001037417896e-02 4.688697564905117826e-02 1.538149455715261908e-04
          77 4.721939055269353674e-02 4.689129272572185175e-02 1.518779198229301675e-04
          78 4.930815984156177584e-02 4.692227820156595619e-02 1.530588959754419754e-04
          79 4.673378790999138666e-02 4.691989224850804524e-02 1.511400371233328837e-04
          80 4.479894702722932165e-02 4.689338043324205868e-02 1.515581990944680048e-04
          81 5.003794896816706611e-02 4.693220226700656889e-02 1.545792972545002961e-04
          82 4.656704279840147287e-02 4.692774910275528816e-02 1.527583144157493398e-04
          83 4.705145757671380657e-02 4.692923956629695831e-02 1.509251238507593423e-04
          84 4.679853376049508684e-02 4.692768354479931459e-02 1.491364171757706433e-04
          85 4.823322222802017833e-02 4.694304282342544321e-02 1.481706718101060392e-04
          86 4.915809119791864079e-02 4.696879919987304031e-02 1.486695080249125658e-04
          87 4.417429690249195101e-02 4.693667848381118113e-02 1.503905509517289296e-04
          88 4.430005944350900310e-02 4.690671690380774500e-02 1.516367490820805946e-04
          89 4.566986863933848034e-02 4.689281973229685735e-02 1.505684411473299416e-04
          90 4.637195268282680305e-02 4.688703232063607534e-02 1.490066425669197875e-04
          91 4.628050273936859527e-02 4.688036716040236418e-02 1.475182000079965669e-04
          92 4.697233465852222040e-02 4.688136680712106513e-02 1.459181282908103290e-04
          93 4.667615968787489078e-02 4.687916027895712434e-02 1.443657984080590716e-04
          94 4.641682427959565455e-02 4.687424181087881253e-02 1.429137523137678605e-04
          95 4.969345458478463540e-02 4.690391773481466381e-02 1.444576336461926070e-04
          96 4.622638397506481645e-02 4.689686009148393703e-02 1.431251674208458731e-04
          97 4.626086295886661787e-02 4.689030342001365009e-02 1.417997537235227926e-04
          98 4.663287679922667461e-02 4.688767661776072071e-02 1.403771457547572097e-04
          99 4.445006158487364856e-02 4.686305424369115874e-02 1.411020739367407819e-04
         100 4.895226159372387253e-02 4.688394631719147720e-02 1.412292614552401748e-04
