#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1 1.655337806471056217e+00 1.655337806471056217e+00 0.000000000000000000e+00
           2 1.649113606851640323e+00 1.652225706661348159e+00 2.200586879250467174e-03
           3 1.628311375105265579e+00 1.644254262809320410e+00 6.671946517333250670e-03
           4 1.659553308542530470e+00 1.648079024242623092e+00 6.000934475301221427e-03
           5 1.644422011558481556e+00 1.647347621705794740e+00 4.845114762931402273e-03
           6 1.662382311516590105e+00 1.649853403340927116e+00 4.640541978467385871e-03
           7 1.637797110994116068e+00 1.648131075862811157e+00 4.285323735302628417e-03
           8 1.666085122190292589e+00 1.650375331653746391e+00 4.297328900373181826e-03
           9 1.660067678393492008e+00 1.651452259069273731e+00 3.952486191770545471e-03
          10 1.653516061245275282e+00 1.651658639286873953e+00 3.562621599700289618e-03
          11 1.605930062887291454e+00 1.647501495977820918e+00 5.118617549986860527e-03
          12 1.663603787987750104e+00 1.648843353645315091e+00 4.864773136453404319e-03
          13 1.629753555736144888e+00 1.647374907652301879e+00 4.706972413114642560e-03
          14 1.664406319240073984e+00 1.648591437051428299e+00 4.525237821635457250e-03
          15 1.658766681764023865e+00 1.649269786698934759e+00 4.274096442728391940e-03
          16 1.654077720060829648e+00 1.649570282534053245e+00 4.017514900432527826e-03
          17 1.634988209469626641e+00 1.648712513530263379e+00 3.871677771840633525e-03
          18 1.638171065614920652e+00 1.648126877534966450e+00 3.700611614051552145e-03
          19 1.664706360443944044e+00 1.648999481898596908e+00 3.607255865520334840e-03
          20 1.660678399560119312e+00 1.649583427781672995e+00 3.473836392699687550e-03
          21 1.660357471807289320e+00 1.650096477497178471e+00 3.346087205485968712e-03
          22 1.667765167527056169e+00 1.650899599771263881e+00 3.288962447425775992e-03
          23 1.647593436351410867e+00 1.650755853535618156e+00 3.149103774626831314e-03
          24 1.644715419181802307e+00 1.650504168770875912e+00 3.027932072019090450e-03
          25 1.620333561743995787e+00 1.649297344489800698e+00 3.138110907843434921e-03
          26 1.639678016379999548e+00 1.648927370331731534e+00 3.039145520425078073e-03
          27 1.628517880522061700e+00 1.648171463301743689e+00 3.019127344105666626e-03
          28 1.654693796163942077e+00 1.648404403761107861e+00 2.920273789931036520e-03
          29 1.640417635695007315e+00 1.648128997965725206e+00 2.832531437637851850e-03
          30 1.646928561150700299e+00 1.648088983405224361e+00 2.738396346997481676e-03
          31 1.640146591160889455e+00 1.647832777203794397e+00 2.662019411821951384e-03
          32 1.642581121541411671e+00 1.647668662964344888e+00 2.583885197318305967e-03
          33 1.624211520770961759e+00 1.646957840473636248e+00 2.601522029903843066e-03
          34 1.640269570296674306e+00 1.646761126644902262e+00 2.532433003516647210e-03
          35 1.646791614739078868e+00 1.646761997733307226e+00 2.460077924661200222e-03
          36 1.650834687026046854e+00 1.646875127991438870e+00 2.394342243412187366e-03
          37 1.648468486988243331e+00 1.646918191748109273e+00 2.330017523129529044e-03
          38 1.663433578006948688e+00 1.647352807175973544e+00 2.308879648139129399e-03
          39 1.644910252553999364e+00 1.647290177570281955e+00 2.250526876491749494e-03
          40 1.652421071526749774e+00 1.647418449919193506e+00 2.197916207651177782e-03
          41 1.654413620250708039e+00 1.647589063829718148e+00 2.150920280052826591e-03
          42 1.637089650960015463e+00 1.647339077809011121e+00 2.114185023892782480e-03
          43 1.652382820412676701e+00 1.647456374148631442e+00 2.068269208850927188e-03
          44 1.617962835424754386e+00 1.646786066450361297e+00 2.127111949470837128e-03
          45 1.628068199347330491e+00 1.646370113848071748e+00 2.120122120730925583e-03
          46 1.623852032505328724e+00 1.645880590340620619e+00 2.129796867230216665e-03
          47 1.655890546469486413e+00 1.646093568130596596e+00 2.095103772763329958e-03
          48 1.643540023012202811e+00 1.646040369273963577e+00 2.052131078794483098e-03
          49 1.648294074499128792e+00 1.646086363258150831e+00 2.010766213401336735e-03
          50 1.643773504802767293e+00 1.646040106089043054e+00 1.971082884570581149e-03
          51 1.641207385761287885e+00 1.645945346866930281e+00 1.934710620418488144e-03
