#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1 -5.033549498793110644e+00 -5.033549498793110644e+00 0.000000000000000000e+00
           2 -5.028680785465213354e+00 -5.031115142129161555e+00 1.721350105898465091e-03
           3 -5.007182493989312810e+00 -5.023137592749211677e+00 6.613957878944495480e-03
           4 -5.038137749836730350e+00 -5.026887632021091790e+00 5.929025446269481532e-03
           5 -5.020845219434977302e+00 -5.025679149503869070e+00 4.864820998775449233e-03
           6 -5.040616372155215963e+00 -5.028168686612427329e+00 4.647567865023737553e-03
           7 -5.014684360701457955e+00 -5.026242354339431451e+00 4.364625161626769709e-03
           8 -5.044130236992502958e+00 -5.028478339671065278e+00 4.354284868565925712e-03
           9 -5.039101144089906725e+00 -5.029658651273158476e+00 4.027272373376410662e-03
          10 -5.033871639481509064e+00 -5.030079950093993446e+00 3.646514893677389475e-03
          11 -4.984164605367689127e+00 -5.025905827846147922e+00 5.179640456545214940e-03
          12 -5.041202404937659587e+00 -5.027180542603773894e+00 4.902349354936388730e-03
          13 -5.006966540636591745e+00 -5.025625619375528430e+00 4.765464306099151739e-03
          14 -5.043113971154880026e+00 -5.026874787359767893e+00 4.585874172616913151e-03
          15 -5.035212858682196035e+00 -5.027430658781264050e+00 4.313707328157432609e-03
          16 -5.032763502291940583e+00 -5.027763961500681056e+00 4.056956662315432983e-03
          17 -5.014043921299523809e+00 -5.026956900312377741e+00 3.897761009025437970e-03
          18 -5.016500410445146052e+00 -5.026375984208642400e+00 3.724256555338945410e-03
          19 -5.042984825998866327e+00 -5.027250133776549390e+00 3.629382694397025131e-03
          20 -5.038472685350273039e+00 -5.027811261355235040e+00 3.491021178248244691e-03
          21 -5.037699518073091021e+00 -5.028282130722752541e+00 3.356387314677001209e-03
          22 -5.046634025533421664e+00 -5.029116307759601057e+00 3.305860187506704483e-03
          23 -5.025931962299304168e+00 -5.028977857956979491e+00 3.165024954857736939e-03
          24 -5.023262298683111027e+00 -5.028739709653901713e+00 3.042095305271413485e-03
          25 -4.998372494178638270e+00 -5.027525021034890962e+00 3.153609518050432773e-03
          26 -5.018700607384263712e+00 -5.027185620509867725e+00 3.050525802376820913e-03
          27 -5.006462804987855897e+00 -5.026418108823866859e+00 3.032559586994496188e-03
          28 -5.033420938088062790e+00 -5.026668209869016302e+00 2.934548923366691198e-03
          29 -5.019193063147311840e+00 -5.026410446188957160e+00 2.844655724384471430e-03
          30 -5.023710272013739875e+00 -5.026320440383116761e+00 2.751257404499257448e-03
          31 -5.018989272448447281e+00 -5.026083951094901359e+00 2.672651770814900470e-03
          32 -5.020600023700801273e+00 -5.025912578363835870e+00 2.594619869178243967e-03
          33 -5.002465621113446836e+00 -5.025202064507763744e+00 2.611467600168664461e-03
          34 -5.017233704785552639e+00 -5.024967700986522345e+00 2.545154362021446667e-03
          35 -5.024962117113501492e+00 -5.024967541447292518e+00 2.472435671001738805e-03
          36 -5.029667917171831704e+00 -5.025098107439641026e+00 2.407201940612028676e-03
          37 -5.026294243878810519e+00 -5.025130435451510280e+00 2.342359496507032991e-03
          38 -5.039564264155327322e+00 -5.025510273048979570e+00 2.311310565095961358e-03
          39 -5.022698779582817075e+00 -5.025438183472924258e+00 2.253170144950541239e-03
          40 -5.032422422837082188e+00 -5.025612789457027496e+00 2.203595918147006373e-03
          41 -5.032782310432370565e+00 -5.025787655822280264e+00 2.156776776827945292e-03
          42 -5.014246342268221746e+00 -5.025512862642421474e+00 2.122858360552827648e-03
          43 -5.031110934450513383e+00 -5.025643050358888253e+00 2.077477712044529558e-03
          44 -4.995225694582985376e+00 -5.024951746818526743e+00 2.142196128575504701e-03
          45 -5.006893960070678773e+00 -5.024550462668575079e+00 2.131845498861431164e-03
          46 -5.002646580009781019e+00 -5.024074291306426687e+00 2.138018850807644165e-03
          47 -5.034524395791523332e+00 -5.024296633955046332e+00 2.104058554856800926e-03
          48 -5.022238986069964106e+00 -5.024253766290773804e+00 2.060660643907046789e-03
          49 -5.026477614417865780e+00 -5.024299150946428760e+00 2.019106066363908839e-03
          50 -5.022553096781897430e+00 -5.024264229863137921e+00 1.979025907655035475e-03
          51 -5.019703589233948549e+00 -5.024174805537074739e+00 1.942240792471648658e-03
          52 -5.005443001260569957e+00 -5.023814578531757391e+00 1.938007736339744224e-03
          53 -5.054779566854321615e+00 -5.024398823594448338e+00 1.987556754041092718e-03
          54 -5.043374282146550591e+00 -5.024750220975042758e+00 1.981569980637182433e-03
          55 -5.004824059036050876e+00 -5.024387927121606090e+00 1.978383639660108093e-03
          56 -5.015415244978925990e+00 -5.024227700654772200e+00 1.949532820053400317e-03
          57 -5.021961654506402972e+00 -5.024187945459186899e+00 1.915735794231847615e-03
          58 -5.041150410673593818e+00 -5.024480401755987202e+00 1.904898264789824970e-03
          59 -5.038073265081242980e+00 -5.024710789269975386e+00 1.886492493068226903e-03
          60 -5.023258533755087463e+00 -5.024686585011393980e+00 1.855206218919724231e-03
          61 -5.017305523256665012e+00 -5.024565583999021534e+00 1.828734733496995826e-03
          62 -5.016440894617073099e+00 -5.024434540621892431e+00 1.803928051634236815e-03
          63 -5.019827137250945093e+00 -5.024361407235052646e+00 1.776776111759515364e-03
          64 -5.038996770566122940e+00 -5.024590084787100785e+00 1.763668409266172521e-03
          65 -5.042646060861726731e+00 -5.024867869034403078e+00 1.758274985596760881e-03
          66 -5.020688957675174535e+00 -5.024804552195626606e+00 1.732774124596783705e-03
          67 -5.034038864818048964e+00 -5.024942377757155576e+00 1.712384402045560644e-03
          68 -5.047569556615480124e+00 -5.025275130387425015e+00 1.719228763944270636e-03
          69 -5.042108461640004258e+00 -5.025519091709925945e+00 1.711534132225858099e-03
          70 -5.016228508919639673e+00 -5.025386369098636230e+00 1.692221873302107542e-03
          71 -5.029348182431850667e+00 -5.025442169286428395e+00 1.669307500826309760e-03
          72 -5.041003568106450672e+00 -5.025658299825596309e+00 1.660055265828817850e-03
          73 -4.994841868696428655e+00 -5.025236156933415188e+00 1.690137024043175847e-03
          74 -5.024976178408040894e+00 -5.025232643710100255e+00 1.667300985907680180e-03
