#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1 2.149600121335759173e+00 2.149600121335759173e+00 0.000000000000000000e+00
           2 2.120012176657843472e+00 2.134806148996801323e+00 1.046091816156720020e-02
           3 2.211817498508557023e+00 2.160476598834053075e+00 2.208960339721647084e-02
           4 2.090775762936853965e+00 2.143051389859753186e+00 2.240983335752791059e-02
           5 2.192188346902014917e+00 2.152878781268205532e+00 1.996673487147422252e-02
           6 2.077780336702225839e+00 2.140362373840542176e+00 2.018427343155774004e-02
           7 2.202871631912008521e+00 2.149292267850751781e+00 1.917469765504415530e-02
           8 2.083196922729287692e+00 2.141030349710568714e+00 1.847223541301486888e-02
           9 2.027413070805772044e+00 2.128406207610035850e+00 2.027979234607674153e-02
          10 2.088394504914037775e+00 2.124405037340435953e+00 1.864234719743718474e-02
          11 2.186675584000079997e+00 2.130065996127676442e+00 1.778634002878409087e-02
          12 2.009740975825024201e+00 2.120038911102455348e+00 1.892059837767210567e-02
          13 2.203083625317566963e+00 2.126426966042079592e+00 1.851216656540822722e-02
          14 2.027785726360388452e+00 2.119381163207672891e+00 1.848212594748633100e-02
          15 2.082583037396629422e+00 2.116927954820269964e+00 1.741203524793030061e-02
          16 2.083688818551379107e+00 2.114850508803464368e+00 1.644724713983539144e-02
          17 2.162288021427589690e+00 2.117640950722530668e+00 1.571469264135844784e-02
          18 2.183001019026333811e+00 2.121272065628297732e+00 1.525539884612159801e-02
          19 2.046018311399226075e+00 2.117311341721504370e+00 1.495780575395603759e-02
          20 2.112473423453784083e+00 2.117069445808118289e+00 1.421187128810012627e-02
          21 2.072643900631342184e+00 2.114953943656843194e+00 1.369166130950610037e-02
          22 2.095440678942785517e+00 2.114066977078931320e+00 1.309801107999865495e-02
          23 2.153678143165324688e+00 2.115789201691383514e+00 1.264125077347788909e-02
          24 2.117296786750977766e+00 2.115852017735532886e+00 1.211468806085646242e-02
          25 2.215219332730526958e+00 2.119826710335332987e+00 1.226480707333494138e-02
          26 2.089932702196014347e+00 2.118676940791512919e+00 1.184685395932383832e-02
          27 2.163888440700923788e+00 2.120351440788157849e+00 1.152581562426291048e-02
          28 2.105866444821084205e+00 2.119834119503619441e+00 1.112578294212086642e-02
          29 2.168435071914168955e+00 2.121510014414327738e+00 1.086762368146870772e-02
          30 2.217113903907235617e+00 2.124696810730758223e+00 1.096266108066866300e-02
          31 2.116783211099800166e+00 2.124441533323307763e+00 1.061199864115423483e-02
          32 2.169493258620355025e+00 2.125849399738840351e+00 1.037334230967457659e-02
          33 2.196782693148144450e+00 2.127998893478516340e+00 1.027928822635203188e-02
          34 2.110618781903379482e+00 2.127487713726306851e+00 9.989658388314198723e-03
          35 2.111211403535581788e+00 2.127022676292285919e+00 9.715057731958942275e-03
          36 2.121543359155347641e+00 2.126870473038481979e+00 9.446387206112757604e-03
          37 2.192812718755432932e+00 2.128652695895696834e+00 9.357692729185939848e-03
          38 2.155001446741998894e+00 2.129346084075863121e+00 9.137090951638037958e-03
          39 2.095984983825744496e+00 2.128490671248937094e+00 8.942758722025214227e-03
          40 2.085011858061177392e+00 2.127403700919242802e+00 8.785000674502966775e-03
          41 2.084516863383482743e+00 2.126357680491541391e+00 8.632782009035210383e-03
          42 2.273111199826084228e+00 2.129851811904269088e+00 9.106955137886707172e-03
          43 2.113791568137465049e+00 2.129478317863180425e+00 8.902821049704046433e-03
          44 2.232291272126953441e+00 2.131814975914629873e+00 9.001905689943905109e-03
          45 2.217856818122535767e+00 2.133727016852583702e+00 9.002636091307107333e-03
          46 2.209608549681984169e+00 2.135376615392353461e+00 8.956783780426004482e-03
          47 2.164028517284342090e+00 2.135986230326225144e+00 8.786935171193813524e-03
          48 2.117928826233804074e+00 2.135610034407633417e+00 8.611923312972230224e-03
          49 2.116723694769060415e+00 2.135224598904805315e+00 8.444790652728607905e-03
          50 2.096698464263668793e+00 2.134454076211982354e+00 8.310972657463775934e-03
          51 2.165307801033038437e+00 2.135059051208473946e+00 8.170001505540588210e-03
          52 2.248333421769331153e+00 2.137237404488490533e+00 8.298211388411755665e-03
          53 2.007553022509227958e+00 2.134790529356806132e+00 8.494736957829051444e-03
          54 2.018696165998265624e+00 2.132640633739055325e+00 8.605181395160319338e-03
          55 2.218678275068370898e+00 2.134204954490497297e+00 8.589734358428479516e-03
          56 2.222036542645595247e+00 2.135773375707552990e+00 8.578342234158689919e-03
          57 2.116208569814815199e+00 2.135430133498908312e+00 8.434709221877105534e-03
          58 2.118665402218011362e+00 2.135141086407858602e+00 8.294234365961321298e-03
          59 2.096954649200811538e+00 2.134493858658586429e+00 8.178867846139182413e-03
          60 2.162569864105684303e+00 2.134961792082704868e+00 8.055928080042396716e-03
          61 2.135170670474003884e+00 2.134965216318627679e+00 7.923864413036883422e-03
          62 2.098549400178780999e+00 2.134377864445403894e+00 7.817798400425696875e-03
          63 2.125414822117359659e+00 2.134235593932260588e+00 7.695000793011085201e-03
          64 2.110815098956638547e+00 2.133869648698266452e+00 7.583462901461402068e-03
          65 2.056687520819509007e+00 2.132682231346285651e+00 7.559185440240743549e-03
          66 2.138877715336332308e+00 2.132776102315831590e+00 7.445235155786194409e-03
          67 2.075363187070019766e+00 2.131919193133058332e+00 7.383260535726610639e-03
          68 1.997420446855224574e+00 2.129941270393678199e+00 7.534962615933139644e-03
          69 2.073628373075865561e+00 2.129125141447043568e+00 7.469827892748240848e-03
          70 2.220516332822871419e+00 2.130430729895269604e+00 7.476341920953690108e-03
          71 2.156319445977417093e+00 2.130795359699243718e+00 7.379927681623941853e-03
          72 2.133077509057731191e+00 2.130827056218111526e+00 7.277496753421119381e-03
          73 2.218360585034405474e+00 2.132026145653951321e+00 7.275919477003937701e-03
          74 2.100664341595456897e+00 2.131602337490998700e+00 7.189928646919320140e-03
          75 2.044261962811508404e+00 2.130437799161938983e+00 7.187753223652740275e-03
          76 2.150619454552100684e+00 2.130703347259177871e+00 7.098081101974986623e-03
          77 2.153193845585420263e+00 2.130995431653024852e+00 7.011905257825113390e-03
          78 2.197895342196268142e+00 2.131853122813835988e+00 6.974267848521765144e-03
          79 2.134367885217672622e+00 2.131884955249327529e+00 6.886058622539793610e-03
          80 2.069511303971614424e+00 2.131105284608355799e+00 6.843979473271484537e-03
          81 2.135005717572556527e+00 2.131153438101741404e+00 6.759655298767573879e-03
          82 2.131996600167406886e+00 2.131163720565956599e+00 6.677228298642997814e-03
          83 2.137860509354472693e+00 2.131244404768227962e+00 6.597267220175759977e-03
          84 1.988943481374578548e+00 2.129550346156398710e+00 6.732717791065935889e-03
          85 2.059685730418999050e+00 2.128728409500664664e+00 6.703493006718017240e-03
          86 2.038191617033487724e+00 2.127675656099883739e+00 6.707701145768431121e-03
          87 2.112677129637916540e+00 2.127503259243999079e+00 6.632816177052133083e-03
          88 2.101996205419218722e+00 2.127213406359626635e+00 6.563773470213982511e-03
          89 2.115304977636242256e+00 2.127079603789701068e+00 6.491386846424291798e-03
          90 2.215861022209378639e+00 2.128066063994363599e+00 6.493781225408825838e-03
