#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1 1.103558537647371107e+00 1.103558537647371107e+00 0.000000000000000000e+00
           2 1.099409071234427326e+00 1.101483804440899217e+00 1.467057919466677185e-03
           3 1.085540916736839723e+00 1.096169508539545978e+00 4.447964344874042950e-03
           4 1.106368872361683575e+00 1.098719349495080433e+00 4.000622983524126410e-03
           5 1.096281341038988666e+00 1.098231747803862124e+00 3.230076508604894439e-03
           6 1.108254874344398289e+00 1.099902268893951485e+00 3.093694652292982780e-03
           7 1.091864740662741973e+00 1.098754050575207142e+00 2.856882490194966907e-03
           8 1.110723414793528763e+00 1.100250221102497372e+00 2.864885933570818482e-03
           9 1.106711785595656972e+00 1.100968172712848414e+00 2.634990794511096052e-03
          10 1.102344040830183225e+00 1.101105759524581895e+00 2.375081066464262720e-03
          11 1.070620041924855936e+00 1.098334330651879576e+00 3.412411699986639575e-03
          12 1.109069191991835401e+00 1.099228902430209320e+00 3.243182090965449852e-03
          13 1.086502370490766811e+00 1.098249938434867623e+00 3.137981608736442087e-03
          14 1.109604212826716063e+00 1.099060958034285163e+00 3.016825214423346155e-03
          15 1.105844454509352648e+00 1.099513191132623025e+00 2.849397628485883169e-03
          16 1.102718480040550952e+00 1.099713521689368534e+00 2.678343266954442622e-03
          17 1.089992139646420277e+00 1.099141675686842179e+00 2.581118514556767721e-03
          18 1.092114043743280805e+00 1.098751251689977559e+00 2.467074409362701379e-03
          19 1.109804240295968247e+00 1.099332987932398087e+00 2.404837243680763015e-03
          20 1.107118933040079911e+00 1.099722285187782145e+00 2.315890928466458366e-03
          21 1.106904981204865912e+00 1.100064318331452906e+00 2.230724803655205653e-03
          22 1.111843445018039223e+00 1.100599733180843254e+00 2.192641631612836199e-03
          23 1.098395624234273393e+00 1.100503902357079289e+00 2.099402516417121084e-03
          24 1.096476946121201834e+00 1.100336112513917719e+00 2.018621381346060156e-03
          25 1.080222374496000004e+00 1.099531562993200984e+00 2.092073938563941259e-03
          26 1.093118677586661036e+00 1.099284913554487986e+00 2.026097013619294635e-03
          27 1.085678587014706542e+00 1.098780975534495941e+00 2.012751562741651144e-03
          28 1.103129197442622944e+00 1.098936269174072056e+00 1.946849193286000115e-03
          29 1.093611757130003026e+00 1.098752665310483323e+00 1.888354291763073194e-03
          30 1.097952374100466866e+00 1.098725988936816167e+00 1.825597564666113981e-03
          31 1.093431060773927044e+00 1.098555184802529228e+00 1.774679607889373097e-03
          32 1.095054081027607928e+00 1.098445775309562888e+00 1.722590131553369949e-03
          33 1.082807680513976134e+00 1.097971893649090536e+00 1.734348019940636955e-03
          34 1.093513046864451832e+00 1.097840751096601064e+00 1.688288669020983606e-03
          35 1.097861076492713694e+00 1.097841331822204225e+00 1.640051949784878792e-03
          36 1.100556458017367012e+00 1.097916751994292062e+00 1.596228162286812994e-03
          37 1.098978991325493482e+00 1.097945461165405590e+00 1.553345015429773808e-03
          38 1.108955718671301938e+00 1.098235204783981844e+00 1.539253098769331881e-03
          39 1.096606835035999872e+00 1.098193451713520785e+00 1.500351251003986504e-03
          40 1.101614047684500663e+00 1.098278966612795227e+00 1.465277471777975482e-03
          41 1.102942413500476393e+00 1.098392709219812025e+00 1.433946853373167232e-03
          42 1.091393100640005720e+00 1.098226051872673636e+00 1.409456682605815959e-03
          43 1.101588546941787650e+00 1.098304249432420665e+00 1.378846139242897789e-03
          44 1.078641890283172033e+00 1.097857377633574050e+00 1.418074632984512315e-03
          45 1.085378799564887364e+00 1.097580075898714425e+00 1.413414747158411302e-03
          46 1.082568021670217151e+00 1.097253726893747006e+00 1.419864578156499737e-03
          47 1.103927030979654722e+00 1.097395712087064323e+00 1.396735848508134925e-03
          48 1.095693348674803502e+00 1.097360246182642163e+00 1.368087385866182358e-03
          49 1.098862716332757117e+00 1.097390908838766999e+00 1.340510808939107592e-03
          50 1.095849003201843974e+00 1.097360070726028480e+00 1.314055256387146710e-03
          51 1.094138257174192663e+00 1.097296897911286706e+00 1.289807080283492764e-03
          52 1.084900179189247194e+00 1.097058499474324211e+00 1.286846414554846090e-03
          53 1.117081087371272652e+00 1.097436284151625197e+00 1.316853087453228460e-03
          54 1.109211741256982187e+00 1.097654348172094840e+00 1.310397673650268635e-03
          55 1.084150229845164626e+00 1.097408818747968917e+00 1.309372672883737931e-03
          56 1.092338686316078222e+00 1.097318280668827972e+00 1.289117397528536128e-03
          57 1.095496122082395329e+00 1.097286312974329103e+00 1.266897610274782433e-03
