#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1 -3.378211692322063087e+00 -3.378211692322063087e+00 0.000000000000000000e+00
           2 -3.379567178613589906e+00 -3.378889435467826274e+00 4.792367758997359171e-04
           3 -3.378871118884063662e+00 -3.378883329939905256e+00 3.195300743831677552e-04
           4 -3.378584441294210539e+00 -3.378808607778481576e+00 2.482307431735366536e-04
           5 -3.376423207876478205e+00 -3.378331527798080991e+00 4.706592050000640783e-04
           6 -3.378234060638612757e+00 -3.378315283271502878e+00 3.924962396229148714e-04
           7 -3.376887249707340555e+00 -3.378111278476622736e+00 3.858167294851587285e-04
           8 -3.378045114802203930e+00 -3.378103008017320441e+00 3.376782701786281695e-04
           9 -3.379033465696414495e+00 -3.378206392203886743e+00 3.155880298603972508e-04
          10 -3.380355578236239555e+00 -3.378421310807122158e+00 3.496335322612969588e-04
          11 -3.378234542480378799e+00 -3.378404331868327226e+00 3.182606654508092080e-04
          12 -3.377598616949906152e+00 -3.378337188958458359e+00 2.987375116219209725e-04
          13 -3.377212984900456849e+00 -3.378250711723227884e+00 2.880023748294928410e-04
          14 -3.378707651914813148e+00 -3.378283350308341149e+00 2.692738501789032385e-04
          15 -3.376446176918165953e+00 -3.378160872082329735e+00 2.777836083401471708e-04
          16 -3.378685782231133583e+00 -3.378193678966629587e+00 2.623522647927898385e-04
          17 -3.379055711829926256e+00 -3.378244386782117914e+00 2.517725314749947522e-04
          18 -3.378329344830230507e+00 -3.378249106673679503e+00 2.378294059277537612e-04
          19 -3.378278465554908294e+00 -3.378250651877954258e+00 2.253170888611938187e-04
          20 -3.377794285790164608e+00 -3.378227833573564709e+00 2.152035598619196481e-04
          21 -3.377342046265787268e+00 -3.378185653225575180e+00 2.090486237366512583e-04
          22 -3.378868858006368825e+00 -3.378216707988338285e+00 2.018398701938080872e-04
          23 -3.378338525947876647e+00 -3.378222004421362001e+00 1.931337023246615988e-04
          24 -3.378546879501306943e+00 -3.378235540883026022e+00 1.855602340873957945e-04
          25 -3.378038932434652697e+00 -3.378227676545090929e+00 1.783043982734213557e-04
          26 -3.379022591004261500e+00 -3.378258250178135746e+00 1.740480112514946882e-04
          27 -3.377944924465806853e+00 -3.378246645522123615e+00 1.679882135793784583e-04
          28 -3.378727141924147137e+00 -3.378263806107910217e+00 1.628627827518475243e-04
          29 -3.378775427452282543e+00 -3.378281448223233507e+00 1.581994803542421761e-04
          30 -3.376781710863031361e+00 -3.378231456977893288e+00 1.606307325274016504e-04
