#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1 9.653062326319442832e+00 9.653062326319442832e+00 0.000000000000000000e+00
           2 9.654461814769735639e+00 9.653762070544589236e+00 4.947938847348207691e-04
           3 9.644127120283528143e+00 9.650550420457568279e+00 2.642966801753261936e-03
           4 9.653829728954478995e+00 9.651370247581796846e+00 2.105541198020549447e-03
           5 9.640535671398385631e+00 9.649203332345114958e+00 2.567826260325923628e-03
           6 9.644896626463220102e+00 9.648485548031466408e+00 2.237928867933821741e-03
           7 9.648163918849146370e+00 9.648439601005421196e+00 1.918696355034096206e-03
           8 9.649584915445000632e+00 9.648582765310369069e+00 1.684191972668309641e-03
           9 9.667281343673057137e+00 9.650660385128444929e+00 2.465376195002692838e-03
          10 9.641829770824969614e+00 9.649777323698097931e+00 2.371721392348588326e-03
          11 9.647946425615851140e+00 9.649610878417894000e+00 2.161942957783810626e-03
          12 9.647273512363089054e+00 9.649416097913325885e+00 1.990536092443706984e-03
          13 9.658831432056434352e+00 9.650140354385872143e+00 1.964765199763637317e-03
          14 9.669683676866899447e+00 9.651536305991660569e+00 2.266719070929937210e-03
          15 9.640162892075299084e+00 9.650778078397236115e+00 2.238830960884338923e-03
          16 9.644255026720568225e+00 9.650370387667445371e+00 2.135701666112560775e-03
          17 9.642411571286469751e+00 9.649902221997976426e+00 2.060746534471198221e-03
          18 9.640148874708110327e+00 9.649360369370761248e+00 2.016239893123786698e-03
          19 9.638553193923609541e+00 9.648791570663014738e+00 1.988735790115576420e-03
          20 9.658487678355582418e+00 9.649276376047643211e+00 1.947494585877611317e-03
          21 9.660929246916223789e+00 9.649831274660433778e+00 1.932193718837528365e-03
          22 9.663762785502758135e+00 9.650464525153266138e+00 1.945370729198969521e-03
          23 9.649450949264139155e+00 9.650420456636348732e+00 1.861288468410892977e-03
          24 9.648322406154395736e+00 9.650333037866266395e+00 1.785786492573770761e-03
          25 9.652012774093673642e+00 9.650400227315362400e+00 1.715618554349773901e-03
          26 9.657504314172403070e+00 9.650673461425249400e+00 1.671249603872687183e-03
          27 9.654338790822595939e+00 9.650809214365891009e+00 1.614855555766444260e-03
          28 9.650641358180539697e+00 9.650803219502128272e+00 1.557193270474821695e-03
          29 9.648115408395506520e+00 9.650710536360520564e+00 1.506252645940127800e-03
          30 9.649476220540057270e+00 9.650669392499839461e+00 1.456606045927937932e-03
          31 9.646749452301566663e+00 9.650542942816022318e+00 1.415096733018006555e-03
          32 9.641680549399959332e+00 9.650265993021770683e+00 1.397713287020556274e-03
          33 9.650721797388007062e+00 9.650279805275292944e+00 1.355426584016759285e-03
          34 9.652523127788359858e+00 9.650345785349207617e+00 1.317166021103860019e-03
          35 9.648269590375631921e+00 9.650286465492818877e+00 1.280867773667382749e-03
          36 9.642236501053961462e+00 9.650062855369517578e+00 1.264656096212596337e-03
          37 9.644227729217980993e+00 9.649905149257312686e+00 1.240270416930723150e-03
          38 9.648229279261764546e+00 9.649861047415324578e+00 1.208415559192598486e-03
          39 9.644608035989309158e+00 9.649726354814658791e+00 1.184913331077147797e-03
          40 9.650448811677440730e+00 9.649744416236227806e+00 1.155428143211840184e-03
          41 9.632666653917162591e+00 9.649327885447958053e+00 1.199979987476506053e-03
          42 9.640381104970810355e+00 9.649114866865168949e+00 1.190166224475451128e-03
