#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1 1.207728772167160791e+00 1.207728772167160791e+00 0.000000000000000000e+00
           2 1.204515701391613458e+00 1.206122236779387125e+00 1.135992066937875763e-03
           3 1.207450515422814341e+00 1.206564996327196271e+00 8.391879677600737114e-04
           4 1.204970917862660418e+00 1.206166476711062252e+00 7.178066688656634629e-04
           5 1.208362871469279565e+00 1.206605755662705892e+00 6.957948711432376376e-04
           6 1.207953833782099418e+00 1.206830435349271369e+00 6.150359387835893817e-04
           7 1.205552753388243747e+00 1.206647909354838788e+00 5.535958969501929804e-04
           8 1.206959269085064790e+00 1.206686829321117038e+00 4.857625965020945062e-04
           9 1.205149871266383954e+00 1.206516056203924547e+00 4.608305458609617011e-04
          10 1.205999018598869599e+00 1.206464352443419097e+00 4.176379203030250844e-04
          11 1.208627439391314784e+00 1.206660996711409473e+00 4.234425009636767399e-04
          12 1.205191728718042032e+00 1.206538557711962278e+00 4.054711121237374537e-04
          13 1.209163904675240930e+00 1.206740507478368363e+00 4.215836651166808124e-04
          14 1.205850398367073417e+00 1.206676928256132930e+00 3.962357493405353585e-04
          15 1.209017168592314340e+00 1.206832944278545039e+00 3.993558846129858370e-04
          16 1.204992694157891231e+00 1.206717928646004134e+00 3.906075773920590329e-04
          17 1.207438039522183759e+00 1.206760288109308910e+00 3.699203679337480666e-04
          18 1.207304705478746909e+00 1.206790533518722119e+00 3.506035178549197031e-04
          19 1.208713197063269851e+00 1.206891726336856152e+00 3.464464288438298418e-04
          20 1.207351920933759537e+00 1.206914736066701410e+00 3.298873343193970981e-04
          21 1.206229291824721050e+00 1.206882095864702187e+00 3.157890528287991914e-04
          22 1.204827020355716538e+00 1.206788683341566415e+00 3.149481384537769339e-04
          23 1.209410545418221128e+00 1.206902677344899422e+00 3.212227697141731178e-04
          24 1.206422086527255688e+00 1.206882652727497396e+00 3.084620107554284646e-04
          25 1.207407625270508378e+00 1.206903651629217977e+00 2.968374318017619261e-04
          26 1.204607130204377707e+00 1.206815323882108659e+00 2.982727698295375529e-04
          27 1.205243550528444896e+00 1.206757110054195170e+00 2.928513265300329983e-04
          28 1.208781090240447664e+00 1.206829395060847077e+00 2.911768368955853625e-04
          29 1.206441162889163365e+00 1.206816007744582198e+00 2.814438395853771147e-04
          30 1.206830601802454384e+00 1.206816494213177826e+00 2.720627987073601225e-04
          31 1.206458043677249847e+00 1.206804931292664085e+00 2.635321822285960065e-04
          32 1.206534259756725902e+00 1.206796472807166065e+00 2.554325097538407991e-04
          33 1.208574039386190346e+00 1.206850338461076033e+00 2.533080649134349192e-04
          34 1.206225805013533714e+00 1.206831969830265860e+00 2.465229286014642730e-04
          35 1.207523139416481150e+00 1.206851717532729129e+00 2.402690586942273616e-04
          36 1.208523139579353867e+00 1.206898145922913113e+00 2.380384497622336820e-04
          37 1.207748246942941472e+00 1.206921121626157056e+00 2.327111551554715346e-04
          38 1.204573050565689751e+00 1.206859330282460618e+00 2.346474822964114584e-04
          39 1.205478946628896431e+00 1.206823935829805183e+00 2.312849420294473175e-04
          40 1.205691651949855725e+00 1.206795628732806325e+00 2.272284766508192650e-04
          41 1.207885364783627402e+00 1.206822207660875224e+00 2.232353759455869846e-04
          42 1.207713833911912671e+00 1.206843436857328422e+00 2.189273459449567357e-04
          43 1.205395549747604766e+00 1.206809765064079221e+00 2.164099411229644524e-04
          44 1.205237081966011647e+00 1.206774022266395852e+00 2.144229024560749314e-04
          45 1.206333033353781836e+00 1.206764222512782148e+00 2.098817683148385138e-04
          46 1.205029857156022732e+00 1.206726518918069813e+00 2.086782189887168460e-04
          47 1.206109934984579857e+00 1.206713400110974277e+00 2.046502062210965828e-04
          48 1.207698513586330291e+00 1.206733923308377587e+00 2.014131083385178216e-04
          49 1.207039655949013968e+00 1.206740162750023160e+00 1.973992568314746922e-04
          50 1.207854219183816635e+00 1.206762443878699020e+00 1.947046846866028495e-04
          51 1.207134250702171618e+00 1.206769734208571032e+00 1.910233829780881706e-04
          52 1.206119554053930676e+00 1.206757230744058607e+00 1.877586185617892195e-04
          53 1.202750952880660584e+00 1.206681640595692606e+00 1.988506913522533680e-04
          54 1.206135671231228557e+00 1.206671530051906194e+00 1.954251369209793220e-04
          55 1.210152763809385412e+00 1.206734825211133177e+00 2.018620369779543895e-04
          56 1.205575241471330550e+00 1.206714118358636734e+00 1.993165747379441676e-04
          57 1.207203356770786273e+00 1.206722701488674554e+00 1.960045124079147125e-04
          58 1.208108906588293063e+00 1.206746601576599076e+00 1.940767996772287628e-04
          59 1.207976919211578348e+00 1.206767454417869700e+00 1.919043732219498572e-04
          60 1.206412801441390403e+00 1.206761543534928371e+00 1.887969761656961543e-04
          61 1.205888507693518408e+00 1.206747231471954507e+00 1.862436283822357301e-04
          62 1.207047958683045819e+00 1.206752081910843044e+00 1.833028492531876179e-04
          63 1.206567665069623985e+00 1.206749154659395140e+00 1.804166520347423900e-04
          64 1.204450713643556048e+00 1.206713241518522661e+00 1.811367540739800789e-04
          65 1.207144082957844589e+00 1.206719869848358329e+00 1.784712686776610718e-04
          66 1.208758482189197458e+00 1.206750757914128558e+00 1.784200408880121493e-04
          67 1.206609825824992210e+00 1.206748654450111813e+00 1.757694540277119830e-04
          68 1.207302260547917561e+00 1.206756795716255937e+00 1.733730496331957417e-04
          69 1.204147835142357570e+00 1.206718984693445629e+00 1.749349271074875849e-04
          70 1.205879338400131617e+00 1.206706989746398451e+00 1.728466025708057436e-04
          71 1.207777120381927194e+00 1.206722062008870777e+00 1.710680334995918225e-04
          72 1.208762306834755940e+00 1.206750398742563624e+00 1.710229191078399156e-04
          73 1.205884845733416144e+00 1.206738541852027558e+00 1.690906545043738436e-04
          74 1.206382201522997466e+00 1.206733726442175803e+00 1.668741988500771262e-04
          75 1.205482554518365390e+00 1.206717044149858253e+00 1.654809669681354945e-04
          76 1.204729246459883996e+00 1.206690888917095306e+00 1.653576610996731425e-04
          77 1.206446298494900704e+00 1.206687712418105685e+00 1.632406662243339089e-04
          78 1.209087225922411024e+00 1.206718475411750813e+00 1.640208960823553357e-04
          79 1.209689074788035779e+00 1.206756077935501104e+00 1.661990727839212636e-04
          80 1.204301308595565834e+00 1.206725393318751838e+00 1.669301376198546695e-04
          81 1.208073172953044949e+00 1.206742032573496326e+00 1.656964799445393593e-04
          82 1.207221199747375628e+00 1.206747876075616954e+00 1.637787981004814306e-04
          83 1.207090322197697185e+00 1.206752001932509533e+00 1.618575197777948939e-04
          84 1.207406369018648729e+00 1.206759792016868227e+00 1.601180003415565635e-04
          85 1.205894114458262001e+00 1.206749607575002159e+00 1.585578234087912713e-04
          86 1.208352088115330014e+00 1.206768241069657188e+00 1.578052206968484758e-04
          87 1.206746789894386884e+00 1.206767994504424069e+00 1.559915602258751485e-04
          88 1.204468559893355106e+00 1.206741864565662015e+00 1.563921127260081505e-04
          89 1.205549445962845967e+00 1.206728466603832706e+00 1.552077322108468113e-04
          90 1.207344029431795418e+00 1.206735306190809931e+00 1.536338290459692696e-04
          91 1.207514249341882451e+00 1.206743866005656862e+00 1.521838163930814907e-04
          92 1.205176852182910707e+00 1.206726833246714037e+00 1.514798181868563917e-04
          93 1.208835665636549539e+00 1.206749508863809162e+00 1.515387007757499542e-04
          94 1.209460985597738958e+00 1.206778354360978689e+00 1.526472811537163063e-04
          95 1.208173190114635087e+00 1.206793036842596090e+00 1.517449469566644932e-04
          96 1.205768969385498934e+00 1.206782369473251348e+00 1.505387509532637937e-04
          97 1.203992059309161089e+00 1.206753603389085550e+00 1.517103321382536909e-04
          98 1.205181558527982144e+00 1.206737562114992723e+00 1.510079578179308846e-04
          99 1.205388581445156371e+00 1.206723936047620516e+00 1.500961339092787199e-04
         100 1.207774608321622978e+00 1.206734442770360793e+00 1.489624537057489837e-04
