#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1 -6.655707418769130967e+00 -6.655707418769130967e+00 0.000000000000000000e+00
           2 -6.652447577546649171e+00 -6.654077498157890069e+00 1.152527917310542825e-03
           3 -6.655589543772179262e+00 -6.654581513362653133e+00 8.716185688383715907e-04
           4 -6.652945107951396153e+00 -6.654172412009838666e+00 7.435488125054315507e-04
           5 -6.656450239993015217e+00 -6.654627977606473621e+00 7.210169952520666288e-04
           6 -6.655578516961154989e+00 -6.654786400832254145e+00 6.180069932725375075e-04
           7 -6.653647994312058778e+00 -6.654623771329369220e+00 5.507028188431044606e-04
           8 -6.654633551331465391e+00 -6.654624993829631130e+00 4.818663235493128409e-04
           9 -6.653065252099618299e+00 -6.654451689192963038e+00 4.584322939995335308e-04
          10 -6.654566642663192866e+00 -6.654463184539986642e+00 4.127331630557309525e-04
          11 -6.656442389593206777e+00 -6.654643112272097483e+00 4.125711078204454202e-04
          12 -6.653125807926862478e+00 -6.654516670243327603e+00 3.970933166537123126e-04
          13 -6.657385389891885552e+00 -6.654737340985524163e+00 4.234465284309614887e-04
          14 -6.653181616697518841e+00 -6.654626217822095846e+00 4.075203606757789852e-04
          15 -6.657422929620921970e+00 -6.654812665275350092e+00 4.208480055281734931e-04
          16 -6.653378725043873843e+00 -6.654723044010883548e+00 4.039749162105671907e-04
          17 -6.655396028549102283e+00 -6.654762631336661016e+00 3.821464339700789852e-04
          18 -6.655012897899922564e+00 -6.654776535034620188e+00 3.611689177894810061e-04
          19 -6.656677342018634924e+00 -6.654876577507462976e+00 3.557460016274023064e-04
          20 -6.655120952213041896e+00 -6.654888796242742544e+00 3.381684731066591739e-04
          21 -6.654362519521391128e+00 -6.654863735446487460e+00 3.229924739652380696e-04
          22 -6.653013317422151296e+00 -6.654779625536291654e+00 3.190745683255793346e-04
          23 -6.657277811933432154e+00 -6.654888242336166826e+00 3.231606180333557914e-04
          24 -6.654123154547089136e+00 -6.654856363678288034e+00 3.112639803125521001e-04
          25 -6.655035257992113706e+00 -6.654863519450841203e+00 2.988956627573612296e-04
          26 -6.652613200837777185e+00 -6.654776968734954501e+00 2.996689564268811660e-04
          27 -6.653424381278446376e+00 -6.654726872903232504e+00 2.927274341877956392e-04
          28 -6.656896534267831456e+00 -6.654804360809110975e+00 2.923489591037558883e-04
          29 -6.654368334006813157e+00 -6.654789325402135525e+00 2.826543287418980372e-04
          30 -6.654642073935228552e+00 -6.654784417019905973e+00 2.732751315635869715e-04
          31 -6.654211737282023975e+00 -6.654765943479974410e+00 2.650834798554464440e-04
          32 -6.654599703953453016e+00 -6.654760748494770617e+00 2.568505206013909172e-04
          33 -6.656297955355685581e+00 -6.654807330520858599e+00 2.532559716612633040e-04
          34 -6.653885155905500781e+00 -6.654780207738054010e+00 2.472553763233362525e-04
          35 -6.655320762265673373e+00 -6.654795652153128849e+00 2.406728085608650608e-04
          36 -6.656630893439543506e+00 -6.654846631077750985e+00 2.393256955419209098e-04
          37 -6.655754873752663947e+00 -6.654871178177073077e+00 2.341129194403661525e-04
          38 -6.652704082618598136e+00 -6.654814149346586660e+00 2.347953146585309654e-04
          39 -6.653656824370488110e+00 -6.654784474347199996e+00 2.306425601750303092e-04
          40 -6.653759916285213016e+00 -6.654758860395650011e+00 2.262943023201230224e-04
          41 -6.656369188477209597e+00 -6.654798136690321719e+00 2.241574706571073381e-04
          42 -6.655565804695235954e+00 -6.654816414499962640e+00 2.195643102732301505e-04
          43 -6.653591979622996533e+00 -6.654787939270265795e+00 2.162967544970667566e-04
          44 -6.653154254939129153e+00 -6.654750810080921397e+00 2.145440249506263880e-04
          45 -6.654546739424897162e+00 -6.654746275177454429e+00 2.098243022763829086e-04
          46 -6.653085559101422852e+00 -6.654710172654063172e+00 2.083456679124491421e-04
          47 -6.654476773827401104e+00 -6.654705206721581057e+00 2.039719543763675422e-04
          48 -6.656044440312366639e+00 -6.654733107421389349e+00 2.016217340482344140e-04
          49 -6.654962874353764768e+00 -6.654737796542458561e+00 1.975615247384511107e-04
          50 -6.655761791296407992e+00 -6.654758276437537035e+00 1.946689085367132562e-04
          51 -6.655020367498490685e+00 -6.654763415477948030e+00 1.909196912960255837e-04
          52 -6.653838983998319634e+00 -6.654745637949493364e+00 1.880740171363948308e-04
          53 -6.650368162979592768e+00 -6.654663044082136381e+00 2.018481524657120621e-04
          54 -6.654065867427122249e+00 -6.654651985255191526e+00 1.984129373240003957e-04
          55 -6.658791921991834784e+00 -6.654727256832221549e+00 2.085951840917047481e-04
          56 -6.653247010761508484e+00 -6.654700823866673609e+00 2.065382587527036780e-04
          57 -6.655650457758256699e+00 -6.654717484110385328e+00 2.035856143591052519e-04
          58 -6.655906649363800831e+00 -6.654737986959582408e+00 2.011052752881141426e-04
          59 -6.655712438575725365e+00 -6.654754503088669892e+00 1.983737599286396886e-04
          60 -6.654547699598749588e+00 -6.654751056363838124e+00 1.950974713085663447e-04
          61 -6.654320377604250325e+00 -6.654743996056304844e+00 1.920268606604459683e-04
          62 -6.654985534602169572e+00 -6.654747891839302376e+00 1.889691676022766612e-04
          63 -6.654682223295220744e+00 -6.654746849481459670e+00 1.859725315142163890e-04
          64 -6.651739435878262441e+00 -6.654699858643909671e+00 1.889101831804598742e-04
