#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1 8.051525147781078973e-01 8.051525147781078973e-01 0.000000000000000000e+00
           2 8.030104675944111925e-01 8.040814911862594894e-01 7.573280446130341162e-04
           3 8.049670102818734518e-01 8.043766642181308102e-01 5.594586451770573775e-04
           4 8.033139452417732418e-01 8.041109844740415014e-01 4.785377791471075799e-04
           5 8.055752476461849332e-01 8.044038371084700767e-01 4.638632474421218736e-04
           6 8.053025558547367568e-01 8.045536235661812086e-01 4.100239591690024981e-04
           7 8.037018355921647927e-01 8.044319395698931174e-01 3.690639312714789726e-04
           8 8.046395127233773037e-01 8.044578862140786546e-01 3.238417309894925746e-04
           9 8.034332475109237093e-01 8.043440374692836237e-01 3.072203639296149894e-04
          10 8.039993457325785853e-01 8.043095682956131753e-01 2.784252801998014630e-04
          11 8.057516262608775959e-01 8.044406644742735368e-01 2.822950006225883051e-04
          12 8.034611524786945402e-01 8.043590384746419630e-01 2.703140747434538992e-04
          13 8.061092697834929544e-01 8.044936716522458342e-01 2.810557767495182194e-04
          14 8.039002655780514983e-01 8.044512855040890642e-01 2.641571662403660896e-04
          15 8.060114457282088196e-01 8.045552961856969887e-01 2.662372564225574012e-04
          16 8.033284627719294857e-01 8.044786190973365336e-01 2.604050516006274824e-04
          17 8.049586930147858421e-01 8.045068587395394211e-01 2.466135786254410912e-04
          18 8.048698036524999377e-01 8.045270223458149683e-01 2.337356786007329225e-04
          19 8.058087980421787533e-01 8.045944842245710271e-01 2.309642859099418329e-04
          20 8.049012806225096517e-01 8.046098240444680139e-01 2.199248895532761230e-04
          21 8.041528612164829948e-01 8.045880639098020870e-01 2.105260352066433427e-04
          22 8.032180135704736212e-01 8.045257888943779800e-01 2.099654256385217967e-04
          23 8.062736969454789016e-01 8.046017848965997254e-01 2.141485131728363073e-04
          24 8.042813910181728643e-01 8.045884351516652266e-01 2.056413405261140934e-04
          25 8.049384168470009593e-01 8.046024344194786515e-01 1.978916212223689086e-04
          26 8.030714201362492144e-01 8.045435492547390322e-01 1.988485132328147314e-04
          27 8.034957003522961161e-01 8.045047400361300394e-01 1.952342176890288256e-04
          28 8.058540601602998121e-01 8.045529300405647177e-01 1.941178912716671177e-04
          29 8.042941085927725053e-01 8.045440051630545764e-01 1.876292264151894422e-04
          30 8.045537345349731417e-01 8.045443294754518471e-01 1.813751991552432178e-04
          31 8.043053624514971967e-01 8.045366208617759085e-01 1.756881215129103726e-04
          32 8.043561731711517115e-01 8.045309818714438954e-01 1.702883398664547967e-04
          33 8.057160262574594167e-01 8.045668923073837631e-01 1.688720433143610009e-04
          34 8.041505366756874773e-01 8.045546465535103886e-01 1.643486190908228020e-04
          35 8.050154262776574310e-01 8.045678116884860120e-01 1.601793724760203902e-04
          36 8.056820930528995062e-01 8.045987639486085197e-01 1.586922998695598113e-04
          37 8.051654979619631280e-01 8.046140810841045932e-01 1.551407701272869020e-04
          38 8.030487003771278331e-01 8.045728868549736346e-01 1.564316548912518849e-04
          39 8.036526310859316569e-01 8.045492905532033445e-01 1.541899613909154961e-04
          40 8.037944346332431822e-01 8.045304191552042905e-01 1.514856511280295633e-04
          41 8.052569098557520455e-01 8.045481384405834824e-01 1.488235839869739535e-04
          42 8.051425559412767052e-01 8.045622912382189851e-01 1.459515639975149089e-04
          43 8.035970331650678089e-01 8.045398433760526657e-01 1.442732941267162747e-04
          44 8.034913879773418754e-01 8.045160148442637160e-01 1.429486016883760443e-04
          45 8.042220222358530402e-01 8.045094816751879874e-01 1.399211789069261297e-04
          46 8.033532381040128234e-01 8.044843459453798751e-01 1.391188126707103539e-04
          47 8.040732899897213848e-01 8.044756000739829993e-01 1.364334708131025205e-04
          48 8.051323423908847143e-01 8.044892822055850212e-01 1.342754055714525318e-04
          49 8.046931039660076834e-01 8.044934418333488102e-01 1.315995045485774360e-04
          50 8.052361461225459038e-01 8.045082959191327543e-01 1.298031231310543202e-04
          51 8.047561671347779333e-01 8.045131561390473918e-01 1.273489219777947567e-04
          52 8.040797027026219679e-01 8.045048204960392191e-01 1.251724123546265189e-04
          53 8.018339685871039846e-01 8.044544270637951078e-01 1.325671275725582232e-04
          54 8.040904474874881469e-01 8.044476867012709809e-01 1.302834245955753595e-04
          55 8.067685092062585328e-01 8.044898834740888960e-01 1.345746913161362972e-04
          56 8.037168276475555873e-01 8.044760789057578965e-01 1.328777164985939035e-04
          57 8.048022378471895166e-01 8.044818009924497026e-01 1.306696749435784630e-04
          58 8.054059377255308183e-01 8.044977343843994211e-01 1.293845331271935891e-04
          59 8.053179461410504558e-01 8.045116362785800224e-01 1.279362488048276414e-04
          60 8.042752009609250852e-01 8.045076956899523957e-01 1.258646507689634023e-04
          61 8.039256717956759779e-01 8.044981543146363379e-01 1.241624189182330374e-04
          62 8.046986391220324331e-01 8.045013879405620294e-01 1.222018995021250786e-04
          63 8.043784433797513955e-01 8.044994364395968711e-01 1.202777680215336322e-04
          64 8.029671424290375503e-01 8.044754943456818852e-01 1.207578360429354661e-04
          65 8.047627219718962444e-01 8.044799132322389967e-01 1.189808457835123210e-04
          66 8.058389881261331933e-01 8.045005052760859643e-01 1.189466939017712707e-04
          67 8.044065505499954361e-01 8.044991029667413196e-01 1.171796360121897296e-04
          68 8.048681736986111890e-01 8.045045304775041428e-01 1.155820330840885886e-04
          69 8.027652234282343091e-01 8.044793231289638635e-01 1.166232847245283355e-04
          70 8.039195589334200420e-01 8.044713264975990041e-01 1.152310683782431668e-04
          71 8.051847469212837227e-01 8.044813746725805181e-01 1.140453556618241664e-04
          72 8.058415378898410308e-01 8.045002658283757491e-01 1.140152794074806577e-04
          73 8.039232304889452063e-01 8.044923612346850383e-01 1.127271030051644769e-04
          74 8.042548010153279803e-01 8.044891509614504610e-01 1.112494659120388942e-04
          75 8.036550363455785551e-01 8.044780294332388726e-01 1.103206446357327884e-04
          76 8.031528309732567372e-01 8.044605926113969074e-01 1.102384407272258840e-04
          77 8.042975323299319523e-01 8.044584749454039008e-01 1.088271108044457309e-04
          78 8.060581506149391284e-01 8.044789836078337641e-01 1.093472640671973030e-04
          79 8.064593831920200406e-01 8.045040519570006987e-01 1.107993818489010171e-04
          80 8.028675390637108888e-01 8.044835955458345955e-01 1.112867584007661562e-04
