#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              96.7884              96.7884                    0
           2              97.6877               97.238             0.317948
           3              96.2339              96.9033             0.345848
           4              96.9854              96.9238             0.259994
           5              97.3388              97.0068             0.220843
           6              94.9279              96.6603              0.36594
           7              100.652              97.2306             0.614075
           8              96.9432              97.1946             0.538365
           9              98.8669              97.3804             0.509601
          10              96.9566              97.3381               0.4604
          11              95.7455              97.1933             0.440721
          12              97.4555              97.2151             0.404536
          13              94.0726              96.9734             0.439753
          14              93.8835              96.7527             0.460408
          15              96.6149              96.7435             0.429805
          16              95.5246              96.6673             0.409638
          17              95.8603              96.6199             0.388282
          18              96.7826              96.6289             0.366816
          19              95.2089              96.5542             0.355042
          20              96.2016              96.5365             0.337728
          21              95.2918              96.4773             0.326806
          22              98.9057              96.5876             0.330066
          23              98.8887              96.6877             0.330531
          24               96.297              96.6714             0.317159
          25              98.8661              96.7592              0.31639
          26              101.207              96.9303             0.347409
          27              96.9391              96.9306             0.334542
          28              99.5955              97.0258              0.33586
          29              94.1845              96.9278             0.338267
          30              94.7896              96.8565             0.334416
          31              96.0226              96.8296             0.324709
          32              93.8776              96.7374             0.327404
          33              95.8523              96.7106             0.318579
          34              98.0325              96.7494             0.311573
          35              99.5604              96.8298              0.31285
          36              101.545              96.9607             0.330443
          37              97.3371              96.9709             0.321669
          38              92.9195              96.8643               0.3304
          39              98.7773              96.9133             0.325549
          40              100.874              97.0123             0.332125
