#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.533552            -0.533552                    0
           2             -0.53126            -0.532406          0.000810344
           3            -0.533036            -0.532616          0.000566787
           4            -0.532936            -0.532696          0.000430699
           5            -0.535048            -0.533166          0.000543822
           6             -0.53138            -0.532869          0.000528439
           7            -0.533764            -0.532997          0.000468171
           8             -0.53256            -0.532942          0.000412818
           9            -0.531428            -0.532774          0.000399758
          10            -0.531212            -0.532618          0.000389095
          11            -0.532232            -0.532583          0.000355299
          12            -0.533344            -0.532646          0.000331308
          13            -0.533924            -0.532744          0.000320076
          14            -0.528612            -0.532449          0.000411382
          15            -0.532704            -0.532466          0.000384307
          16            -0.534128             -0.53257          0.000374061
          17            -0.532336            -0.532556           0.00035231
          18            -0.531824            -0.532516          0.000335078
          19            -0.533392            -0.532562          0.000320602
          20            -0.529872            -0.532427           0.00033158
          21            -0.533764            -0.532491          0.000321843
          22            -0.534712            -0.532592          0.000322661
          23            -0.532816            -0.532602           0.00030878
          24            -0.530876             -0.53253          0.000304169
          25            -0.534696            -0.532616          0.000304095
          26            -0.535008            -0.532708          0.000305996
          27            -0.530956            -0.532643          0.000301467
          28            -0.533412            -0.532671          0.000291947
          29            -0.530812            -0.532607          0.000288831
          30            -0.532308            -0.532597          0.000279375
          31            -0.534692            -0.532664          0.000278418
          32            -0.531368            -0.532624          0.000272649
          33            -0.531344            -0.532585          0.000267131
          34            -0.531228            -0.532545           0.00026224
          35            -0.532036            -0.532531           0.00025515
          36             -0.53392            -0.532569          0.000250965
          37            -0.531384            -0.532537          0.000246218
          38             -0.53178            -0.532517          0.000240543
          39             -0.53276            -0.532523          0.000234456
          40            -0.533992             -0.53256          0.000231451
