#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              11.0515              11.0515                    0
           2              11.0874              11.0695            0.0126801
           3              11.0701              11.0697           0.00845545
           4              11.0373              11.0616           0.00946119
           5              11.0089               11.051            0.0120925
           6              10.9697              11.0375            0.0159632
           7              11.1097              11.0478            0.0166846
           8              11.0797              11.0518            0.0150698
           9              11.1477              11.0624            0.0167449
          10              11.0129              11.0575            0.0157865
          11              11.0541              11.0572            0.0143544
          12              11.0569              11.0571            0.0131582
          13              11.1175              11.0618            0.0129384
          14               10.995               11.057            0.0128639
          15              10.9683              11.0511            0.0132957
          16              11.0244              11.0494            0.0125693
          17              11.1552              11.0557            0.0132808
          18              11.1004              11.0581            0.0127732
          19              11.0833              11.0595            0.0121693
          20              10.9343              11.0532             0.013072
          21              11.0158              11.0514            0.0125701
          22              10.9755               11.048            0.0124632
          23              11.0996              11.0502            0.0121217
          24              11.1131              11.0528            0.0118966
          25              11.0746              11.0537            0.0114525
          26               11.037              11.0531              0.01103
          27              11.1127              11.0553              0.01084
          28              11.0591              11.0554            0.0104537
          29              11.1346              11.0581            0.0104441
          30              11.0826               11.059            0.0101278
