#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1              1.48354              1.48354                    0
           2              1.58524              1.53439            0.0359564
           3              1.40946              1.49275            0.0416019
           4              1.43806              1.47908            0.0333724
           5              1.37584              1.45843            0.0324625
           6              1.52818              1.47005            0.0290593
           7               1.6135              1.49055            0.0313106
           8               1.6374               1.5089            0.0323331
           9              1.36234              1.49262            0.0325845
          10              1.45908              1.48926            0.0294981
          11              1.47524              1.48799             0.026844
          12              1.33036              1.47485            0.0276346
          13              1.50696              1.47732             0.025619
          14               1.6322              1.48839            0.0260684
          15              1.28924              1.47511            0.0275043
          16              1.52128              1.47799            0.0259362
          17              1.67034              1.48931            0.0267649
          18              1.45486               1.4874            0.0253463
          19              1.57792              1.49216             0.024456
          20              1.43958              1.48953            0.0233741
          21              1.56072              1.49292            0.0225055
          22              1.56936               1.4964            0.0217491
          23              1.51162              1.49706            0.0208135
          24               1.5544              1.49945             0.020083
          25               1.6427              1.50518            0.0200805
          26               1.5674              1.50757            0.0194502
          27              1.44826              1.50537            0.0188535
          28              1.64326               1.5103            0.0188123
          29              1.41668              1.50707            0.0184385
          30              1.50966              1.50716            0.0178241
