#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1            -0.909736            -0.909736                    0
           2            -0.910272            -0.910004          0.000189505
           3             -0.90892            -0.909643          0.000320939
           4            -0.905048            -0.908494           0.00102348
           5            -0.910012            -0.908798           0.00086264
           6            -0.910624            -0.909102          0.000770705
           7             -0.90826            -0.908982          0.000669925
           8            -0.911896            -0.909346          0.000678032
           9            -0.912968            -0.909748          0.000712185
          10            -0.908912            -0.909665           0.00064586
          11            -0.908912            -0.909596           0.00059076
          12            -0.913216            -0.909898          0.000613724
          13             -0.90534            -0.909547          0.000659101
          14            -0.901148            -0.908947          0.000841907
          15            -0.912884             -0.90921          0.000825671
          16             -0.91134            -0.909343          0.000784726
          17            -0.905812            -0.909135          0.000765561
          18            -0.912488            -0.909322          0.000745344
          19            -0.915912            -0.909668          0.000782677
          20            -0.910812            -0.909726          0.000745628
          21            -0.910416            -0.909758          0.000710847
          22            -0.909368            -0.909741          0.000678757
          23            -0.903896            -0.909487           0.00069519
          24            -0.908488            -0.909445          0.000667468
          25            -0.917772            -0.909778          0.000719089
          26            -0.910368            -0.909801           0.00069179
          27            -0.913236            -0.909928          0.000677767
          28            -0.910372            -0.909944          0.000653746
          29            -0.909824             -0.90994          0.000631216
          30            -0.911736                -0.91          0.000613009
          31            -0.906888            -0.909899          0.000601396
          32            -0.906392             -0.90979          0.000592505
          33            -0.913568            -0.909904          0.000585509
          34            -0.909368            -0.909888            0.0005685
          35            -0.910432            -0.909904           0.00055247
          36             -0.90732            -0.909832          0.000541766
          37            -0.909416            -0.909821           0.00052724
          38            -0.915572            -0.909972          0.000534646
          39            -0.909912            -0.909971           0.00052094
          40             -0.90718            -0.909901          0.000512566
