#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1               3.8247               3.8247                    0
           2               3.6241               3.7244            0.0709228
           3               2.8517               3.4335             0.242179
           4                3.572              3.46812             0.184093
           5               3.6375                3.502             0.150359
           6               3.2561              3.46102             0.130765
           7               3.4369              3.45757              0.11213
           8                4.266              3.55863             0.136241
           9               4.0102               3.6088             0.130015
          10               3.3821              3.58613             0.118973
          11                 3.47              3.57557             0.108625
          12               3.7062              3.58646             0.100117
          13                3.024              3.54319             0.101334
          14                3.833              3.56389            0.0961869
          15               3.1376              3.53547             0.093879
          16               2.7224              3.48466             0.100832
          17               3.3202              3.47498            0.0953633
          18               3.3018              3.46536            0.0905494
          19               3.6259              3.47381            0.0861769
          20               3.5668              3.47846            0.0819934
          21               2.9133              3.45155            0.0823873
          22               3.6507               3.4606            0.0791382
          23               3.5527               3.4646            0.0757987
          24               3.4544              3.46418            0.0726416
          25               2.7385              3.43515            0.0753125
          26               3.0202              3.41919            0.0740876
          27               3.4997              3.42217            0.0714036
          28               3.8545              3.43761            0.0705031
          29               4.3364              3.46861            0.0745735
          30               3.7276              3.47724            0.0725857
          31               3.9832              3.49356            0.0720558
          32               4.2661               3.5177            0.0737376
          33                4.102              3.53541            0.0735982
          34                3.106              3.52278            0.0725091
          35               3.7223              3.52848            0.0706611
          36               3.2473              3.52067            0.0691286
          37               3.4903              3.51985            0.0672652
          38               3.5201              3.51986             0.065495
          39               3.9658              3.53129            0.0648061
          40               3.2343              3.52386            0.0636099
