#   N_BLOCK:  ACCEPTANCE:
           1     0.449885
           2     0.449826
           3     0.449789
           4     0.449935
           5     0.449866
           6     0.449769
           7     0.449727
           8     0.449716
           9     0.449611
          10     0.449674
          11     0.449658
          12     0.449631
          13     0.449644
          14     0.449615
          15     0.449625
          16     0.449571
          17     0.449571
          18     0.449558
          19     0.449613
          20     0.449618
          21     0.449635
          22     0.449575
          23     0.449562
          24     0.449567
          25     0.449593
          26     0.449629
          27     0.449633
          28      0.44964
          29     0.449616
          30     0.449603
