#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              10.8216              10.8216                    0
           2              10.6845               10.753            0.0484846
           3              10.7979               10.768            0.0345511
           4              10.7816              10.7714            0.0260792
           5              10.7821              10.7735            0.0209514
           6              10.8469              10.7858            0.0207232
           7              10.6978              10.7732            0.0212334
           8              10.7079               10.765            0.0200879
           9              10.8006               10.769            0.0182403
          10              10.8031              10.7724            0.0167323
          11              10.8063              10.7755            0.0154921
          12              10.7676              10.7748             0.014215
          13              10.8106              10.7776            0.0133861
          14              10.5784              10.7633            0.0185054
          15              10.7463              10.7622            0.0173065
          16              10.7506              10.7615            0.0162399
          17              10.7863              10.7629            0.0153504
          18              10.7738              10.7636            0.0145095
          19              10.7589              10.7633            0.0137479
          20               10.694              10.7598              0.01349
          21              10.7936              10.7614            0.0129434
          22              10.7581              10.7613            0.0123559
          23              10.7847              10.7623            0.0118607
          24              10.7376              10.7613            0.0114111
          25              10.7948              10.7626             0.011033
          26               10.699              10.7602            0.0108767
          27              10.7099              10.7583            0.0106321
          28              10.7154              10.7568            0.0103623
          29              10.7683              10.7572            0.0100126
          30              10.7775              10.7579           0.00970173
