#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              75.8729              75.8729                    0
           2              73.2878              74.5804              0.91395
           3              73.3888              74.1832             0.690227
           4              72.5527              73.7756             0.626574
           5              74.4557              73.9116             0.515815
           6              70.8935              73.4086             0.628982
           7              75.9875               73.777             0.637965
           8              75.1419              73.9476             0.580586
           9              74.2824              73.9848             0.517266
          10              74.6152              74.0479             0.469366
          11              71.9875              73.8606             0.462561
          12              74.5079              73.9145             0.427149
          13               73.964              73.9183             0.394308
          14              73.1989              73.8669             0.369476
          15              72.7449              73.7921             0.352335
          16              72.5841              73.7166             0.338307
          17              73.9398              73.7297             0.318662
          18              73.3314              73.7076             0.301726
          19               75.497              73.8018             0.300185
          20              73.3622              73.7798             0.285979
          21              74.2547              73.8024             0.273254
          22              73.0161              73.7667              0.26316
          23              73.1037              73.7379             0.253292
          24              76.5159              73.8536             0.267884
          25              73.2006              73.8275             0.258439
          26              73.0925              73.7992              0.25004
          27              72.8439              73.7638              0.24327
          28              73.0348              73.7378             0.235971
          29              73.4316              73.7272              0.22807
          30              73.8214              73.7304             0.220489
          31               72.097              73.6777             0.219582
          32              73.0655              73.6586             0.213552
          33              74.6293               73.688             0.209097
          34              71.4032              73.6208             0.213472
          35               73.142              73.6071              0.20781
          36              75.8257              73.6687             0.210978
          37              72.5141              73.6375             0.207571
          38              71.4716              73.5805             0.209788
          39              75.3446              73.6258             0.209229
          40              75.3583              73.6691             0.208433
