#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1              13.1964              13.1964                    0
           2              15.1471              14.1717             0.689672
           3              13.0333              13.7922             0.554445
           4              12.7672               13.536             0.471353
           5              13.4277              13.5143             0.377579
           6              12.5354              13.3512             0.348117
           7              14.1127                13.46             0.314928
           8              12.0931              13.2891             0.318559
           9              13.5792              13.3213             0.284789
          10              13.9402              13.3832             0.262948
          11              15.2109              13.5494             0.286771
          12              12.3497              13.4494             0.279757
          13              14.3192              13.5163             0.266119
          14              13.2409              13.4966             0.247836
          15              15.1744              13.6085              0.25531
          16              11.6421              13.4856             0.267302
          17              10.6834              13.3208             0.298099
          18              12.5895              13.2801             0.284293
          19              13.3203              13.2822             0.269338
          20              17.6663              13.5014             0.333344
          21              13.0901              13.4819             0.318045
          22              14.7973              13.5417             0.309158
          23              13.2878              13.5306             0.295913
          24              12.4671              13.4863             0.286882
          25              12.9028               13.463             0.276355
          26              14.0127              13.4841             0.266533
          27              11.0742              13.3948             0.271195
          28              13.7721              13.4083             0.261844
          29               13.013              13.3947             0.253169
          30                12.87              13.3772             0.245334
