#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1              4513.88              4513.88                    0
           2              4405.87              4459.88              38.1888
           3              4520.68              4480.15              30.3651
           4              4537.76              4494.55              25.9664
           5              4482.98              4492.24               20.876
           6              4582.86              4507.34              22.1977
           7              4476.64              4502.95              19.4551
           8              4589.54              4513.78              19.8063
           9              4487.12              4510.81              17.8257
          10              4444.57              4504.19              17.2302
          11              4427.25              4497.19              17.0245
          12              4597.03              4505.51              17.5212
          13              4427.52              4499.52              17.1699
          14              4534.24                 4502              16.1216
          15              4427.36              4497.02              15.7961
          16              4589.86              4502.82              15.8387
          17              4648.56              4511.39              17.0701
          18              4548.09              4513.43              16.2431
          19              4540.18              4514.84               15.449
          20              4282.34              4503.22              18.5414
          21              4516.22              4503.84              17.6688
          22              4443.24              4501.08               17.079
          23              4534.19              4502.52               16.397
          24               4541.5              4504.14               15.794
          25              4563.65              4506.52              15.3405
          26              4478.61              4505.45               14.788
          27              4613.64              4509.46              14.7732
          28              4503.16              4509.23              14.2473
          29              4522.89               4509.7              13.7638
          30               4542.5               4510.8              13.3484
