#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1             -1.00356             -1.00356                    0
           2             -1.00051             -1.00203           0.00107884
           3             -1.00423             -1.00276           0.00093535
           4             -1.00376             -1.00301          0.000734031
           5             -1.00223             -1.00286          0.000603583
           6             -1.00414             -1.00307          0.000539315
           7             -1.00274             -1.00302          0.000464388
           8             -1.00523              -1.0033          0.000481596
           9             -1.00274             -1.00324          0.000432009
          10             -1.00254             -1.00317          0.000394401
          11            -0.999692             -1.00285          0.000468271
          12             -1.00464               -1.003          0.000452393
          13             -1.00216             -1.00294          0.000422157
          14             -1.00372             -1.00299          0.000395728
          15             -1.00043             -1.00282           0.00040448
          16             -1.00561               -1.003          0.000414964
          17             -1.00693             -1.00323          0.000450611
          18             -1.00383             -1.00326          0.000426827
          19             -1.00435             -1.00332          0.000408204
          20            -0.996627             -1.00298          0.000506695
          21             -1.00394             -1.00303          0.000484615
          22             -1.00112             -1.00294          0.000470323
          23             -1.00299             -1.00294          0.000449879
          24             -1.00271             -1.00293          0.000431237
          25             -1.00467               -1.003          0.000419529
          26             -1.00213             -1.00297          0.000404739
          27             -1.00622             -1.00309          0.000407241
          28             -1.00356             -1.00311          0.000393045
          29             -1.00354             -1.00312          0.000379778
          30             -1.00475             -1.00318          0.000370992
