#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1 1.154877132967386144e+00 1.154877132967386144e+00 0.000000000000000000e+00
           2 1.116760618144434281e+00 1.135818875555910212e+00 1.347622305325367649e-02
           3 1.165437096046348042e+00 1.145691615719389489e+00 1.207044296866451212e-02
           4 1.183858243017109180e+00 1.155233272543819467e+00 1.225708703311906116e-02
           5 1.131202299651528520e+00 1.150427077965361367e+00 1.070657563765183180e-02
           6 1.157521788102022775e+00 1.151609529654804787e+00 8.987205113470942558e-03
           7 1.147295479659779849e+00 1.150993236798372621e+00 7.724420744707126765e-03
           8 1.109321347664202762e+00 1.145784250656601388e+00 8.332115171910995169e-03
           9 1.130955871369522470e+00 1.144136652958037015e+00 7.567470014400837046e-03
          10 1.168668609590280738e+00 1.146589848621261343e+00 7.197381470029760864e-03
          11 1.125853075336548104e+00 1.144704687413560240e+00 6.785467948079011019e-03
          12 1.136794509845702850e+00 1.144045505949572217e+00 6.251948737818181778e-03
          13 1.192877736433844316e+00 1.147801831371439318e+00 6.806568903491753454e-03
          14 1.173469488116357651e+00 1.149635235424647961e+00 6.562662894799830074e-03
          15 1.182911951113301718e+00 1.151853683137224804e+00 6.489290949214562843e-03
          16 1.195944300929098869e+00 1.154609346749216892e+00 6.643087189565462930e-03
          17 1.172220604016983359e+00 1.155645303059085416e+00 6.332578309684354714e-03
          18 1.144819838784281174e+00 1.155043888377151662e+00 6.009259180111222245e-03
          19 1.163093548871639182e+00 1.155467554718966783e+00 5.707897559737803821e-03
          20 1.126396499654679584e+00 1.154014001965752545e+00 5.604525863946083035e-03
          21 1.154480168343887003e+00 1.154036200364711329e+00 5.337687641463527942e-03
          22 1.160001370653458652e+00 1.154307344468745278e+00 5.101947623297780482e-03
          23 1.185808496586141514e+00 1.155676959778197288e+00 5.060622096732756217e-03
          24 1.164674502809197154e+00 1.156051857404488903e+00 4.863629476471745261e-03
          25 1.151374476826566795e+00 1.155864762181372019e+00 4.672681522847089985e-03
          26 1.170492558777710856e+00 1.156427369742769606e+00 4.526706273486479255e-03
          27 1.177445456884609554e+00 1.157205817414689752e+00 4.425478299711560308e-03
          28 1.132401672384762525e+00 1.156319955092192098e+00 4.355186060493085841e-03
          29 1.177730421515503334e+00 1.157058247037823673e+00 4.267126095943369127e-03
          30 1.170838970222044750e+00 1.157517604477297679e+00 4.149539883271691730e-03
          31 1.128314893509100081e+00 1.156575581542839570e+00 4.121225207916006522e-03
          32 1.138094087306526836e+00 1.155998034847954825e+00 4.032702442595222612e-03
          33 1.144943587677467178e+00 1.155663051600364311e+00 3.924387650748858113e-03
          34 1.162851798064189479e+00 1.155874485319888567e+00 3.814655925819462889e-03
          35 1.162423859926285719e+00 1.156061610308642740e+00 3.710252553406201761e-03
          36 1.151614503263960199e+00 1.155938079557401466e+00 3.609245839725505351e-03
          37 1.136704657118411399e+00 1.155418257329320797e+00 3.548934978169656501e-03
          38 1.120741510380383499e+00 1.154505711356980324e+00 3.570937709077496962e-03
          39 1.163766683920530287e+00 1.154743172191943001e+00 3.487261621853772215e-03
          40 1.148254730736792961e+00 1.154580961155564411e+00 3.403850638484494373e-03
          41 1.144833994909955965e+00 1.154343230271525300e+00 3.329121310671566154e-03
          42 1.111470733455885318e+00 1.153322456537819507e+00 3.402754380788298484e-03
          43 1.141930017550756293e+00 1.153057516096259949e+00 3.333918812069425544e-03
          44 1.126983019042691270e+00 1.152464913890496989e+00 3.310396351485396516e-03
          45 1.153001865123783443e+00 1.152476846140125577e+00 3.236853492810703309e-03
          46 1.159858823393653537e+00 1.152637323906506639e+00 3.170462726013672985e-03
          47 1.149002658704698421e+00 1.152559990604340445e+00 3.103949078314566581e-03
          48 1.168827235948675991e+00 1.152898891549014149e+00 3.057728746645636819e-03
          49 1.157066788238173327e+00 1.152983950665119384e+00 2.996508961980558303e-03
          50 1.145718754732711675e+00 1.152838646746471296e+00 2.940099643114064878e-03
          51 1.172611120193571610e+00 1.153226342304257690e+00 2.907899975954370952e-03
          52 1.137121055920705004e+00 1.152916625258420202e+00 2.868425203503333076e-03
          53 1.151419514068376504e+00 1.152888377877475889e+00 2.814443055630819202e-03
          54 1.123220780537923291e+00 1.152338977926743446e+00 2.815436576084783763e-03
          55 1.105673010666750944e+00 1.151490505794743546e+00 2.889269156802900824e-03
          56 1.147975388102455696e+00 1.151427735835952593e+00 2.838356827866422329e-03
          57 1.172883184263204148e+00 1.151804147211869189e+00 2.813409459746711843e-03
          58 1.154926093896322614e+00 1.151857973878842589e+00 2.765417263002340441e-03
          59 1.134037223122454474e+00 1.151555927255852874e+00 2.734991231092571713e-03
          60 1.135048806652391162e+00 1.151280808579128401e+00 2.703210019245820377e-03
          61 1.158169851948245954e+00 1.151393743716327078e+00 2.661253166303699687e-03
          62 1.133189723776919511e+00 1.151100130491498064e+00 2.634476955245322258e-03
          63 1.150992261529687033e+00 1.151098418285754876e+00 2.592660417119065953e-03
          64 1.158585113477544670e+00 1.151215397898126547e+00 2.554787767479604812e-03
          65 1.184289809369883928e+00 1.151724234997692164e+00 2.565655533870041943e-03
          66 1.157221792369423907e+00 1.151807531321506151e+00 2.528133748771953845e-03
          67 1.110053538918754690e+00 1.151184337405047220e+00 2.566060848628906078e-03
          68 1.137517382424416690e+00 1.150983352772979140e+00 2.536183425062339940e-03
          69 1.207520321491896587e+00 1.151802729131224279e+00 2.628456496107664433e-03
          70 1.166523546058228611e+00 1.152013026515895877e+00 2.599306233674057547e-03
          71 1.126741259330661382e+00 1.151657086133005103e+00 2.586952144486552065e-03
          72 1.143821884549370616e+00 1.151548263888787949e+00 2.553310075770187908e-03
          73 1.187183066255165897e+00 1.152036411866409704e+00 2.564571398299801859e-03
          74 1.161609100309511033e+00 1.152165772521046128e+00 2.533175495417970460e-03
          75 1.146305095459608125e+00 1.152087630160226972e+00 2.500604783470299942e-03
          76 1.141529960461413085e+00 1.151948713453663675e+00 2.471557713684888191e-03
