#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1 1.732315699451070667e+00 1.732315699451070667e+00 0.000000000000000000e+00
           2 1.675140927216660636e+00 1.703728313333865652e+00 2.021433457987227567e-02
           3 1.748155644069522952e+00 1.718537423579084900e+00 1.810566445298603805e-02
           4 1.775787364525661438e+00 1.732849908815728979e+00 1.838563054967972191e-02
           5 1.696803449477293446e+00 1.725640616948041828e+00 1.605986345647947636e-02
           6 1.736282682153041934e+00 1.727414294482208623e+00 1.348080767020023822e-02
           7 1.720943219489671883e+00 1.726489855197560264e+00 1.158663111706205971e-02
           8 1.663982021496300812e+00 1.718676375984902860e+00 1.249817275786621606e-02
           9 1.696433807054282150e+00 1.716204979437056188e+00 1.135120502159772324e-02
          10 1.753002914385425992e+00 1.719884772931893124e+00 1.079607220504335587e-02
          11 1.688779613004821378e+00 1.717057031120341248e+00 1.017820192211578954e-02
          12 1.705191764768545282e+00 1.716068258924358325e+00 9.377923106729246783e-03
          13 1.789316604650771136e+00 1.721702747057159311e+00 1.020985335523909299e-02
          14 1.760204232174531702e+00 1.724452853136971608e+00 9.843994342205788020e-03
          15 1.774367926669949469e+00 1.727780524705836651e+00 9.733936423826215767e-03
          16 1.793916451393652078e+00 1.731914020123825226e+00 9.964630784352198137e-03
          17 1.758330906025471263e+00 1.733467954588627791e+00 9.498867464530142898e-03
          18 1.717229758176422871e+00 1.732565832565727604e+00 9.013888770165807279e-03
          19 1.744640323307462992e+00 1.733201332078450507e+00 8.561846339605853548e-03
          20 1.689594749482017599e+00 1.731021002948628817e+00 8.406788795920444243e-03
          21 1.731720252515825731e+00 1.731054300547066882e+00 8.006531462193476958e-03
          22 1.740002055980189422e+00 1.731461016703118139e+00 7.652921434944033076e-03
          23 1.778712744879209717e+00 1.733515439667295821e+00 7.590933145097386592e-03
          24 1.747011754213797285e+00 1.734077786106733354e+00 7.295444214706191081e-03
          25 1.727061715239855300e+00 1.733797143272058250e+00 7.009022284269684350e-03
          26 1.755738838166571503e+00 1.734641054614154854e+00 6.790059410227674945e-03
          27 1.766168185326898232e+00 1.735808726122034296e+00 6.638217449566411084e-03
          28 1.698602508577147452e+00 1.734479932638288258e+00 6.532779090737201450e-03
          29 1.766595632273256999e+00 1.735587370556735509e+00 6.400689143912960746e-03
          30 1.756258455333064239e+00 1.736276406715946186e+00 6.224309824908281358e-03
          31 1.692472340263644570e+00 1.734863372314259022e+00 6.181837811871692193e-03
          32 1.707141130959795250e+00 1.733997052271932127e+00 6.049053663891829948e-03
          33 1.717415381516204098e+00 1.733494577400546355e+00 5.886581476121858190e-03
          34 1.744277697096286550e+00 1.733811727979832851e+00 5.721983888727054553e-03
          35 1.743635789889433685e+00 1.734092415462964221e+00 5.565378830109730252e-03
          36 1.727421754895941630e+00 1.733907119336102642e+00 5.413868759585409828e-03
          37 1.705056985677616543e+00 1.733127385993981306e+00 5.323402467255048537e-03
          38 1.681112265570579245e+00 1.731758567035470708e+00 5.356406563615563263e-03
          39 1.745650025880798095e+00 1.732114758287914835e+00 5.230892432780522364e-03
          40 1.722382096105180338e+00 1.731871441733346284e+00 5.105775957728644551e-03
          41 1.717250992364930395e+00 1.731514845407287284e+00 4.993681966012093916e-03
          42 1.667206100183834527e+00 1.729983684806728927e+00 5.104131571186332206e-03
          43 1.712895026326126446e+00 1.729586274144389257e+00 5.000878218109688564e-03
          44 1.690474528564042345e+00 1.728697370835744929e+00 4.965594527234192326e-03
          45 1.729502797685679605e+00 1.728715269210187921e+00 4.855280239221135968e-03
