#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1 1.317046819834177818e+00 1.317046819834177818e+00 0.000000000000000000e+00
           2 1.317026682872983079e+00 1.317036751353580559e+00 7.119481030570739469e-06
           3 1.317005658916058142e+00 1.317026387207739679e+00 9.702471679378816145e-06
           4 1.317071508219476383e+00 1.317037667460673855e+00 1.218136661553618337e-05
           5 1.317057954558959132e+00 1.317041724880331000e+00 1.039888826896586308e-05
           6 1.317061874567792668e+00 1.317045083161574537e+00 9.192031836010427094e-06
           7 1.317152718905224784e+00 1.317060459696381747e+00 1.627076577695222393e-05
           8 1.317175753915023506e+00 1.317074871473711939e+00 1.960680483790903800e-05
           9 1.317124731395913129e+00 1.317080411465067602e+00 1.819411916157435478e-05
          10 1.316893219411898963e+00 1.317061692259750671e+00 2.415572037910853641e-05
          11 1.317060441222021483e+00 1.317061578529048038e+00 2.196001333283501217e-05
          12 1.317118802143348644e+00 1.317066347163573070e+00 2.064127607612722105e-05
          13 1.317067627797227303e+00 1.317066445673854336e+00 1.905371995804760153e-05
          14 1.317091008405265828e+00 1.317068200154669411e+00 1.777333329875692137e-05
          15 1.317060262193945563e+00 1.317067670957287939e+00 1.659631993854720778e-05
          16 1.316820422927950540e+00 1.317052217955454241e+00 2.158598175276828129e-05
          17 1.316852994570494317e+00 1.317040498932809500e+00 2.328101492725482562e-05
          18 1.317061967924233690e+00 1.317041691654555091e+00 2.201815756286120757e-05
          19 1.317168553552808818e+00 1.317048368596568375e+00 2.184824612518822154e-05
          20 1.317187525273265658e+00 1.317055326430403239e+00 2.183564803901616994e-05
          21 1.317129968653473204e+00 1.317058880821977862e+00 2.108316194162549901e-05
          22 1.317144562284900067e+00 1.317062775433928801e+00 2.048139609698515303e-05
          23 1.316895425008693499e+00 1.317055499328483759e+00 2.084330307989822829e-05
          24 1.316859599907811429e+00 1.317047336852622541e+00 2.151380595298220093e-05
          25 1.316935048294123112e+00 1.317042845310282262e+00 2.111691033859046181e-05
          26 1.317032415948632185e+00 1.317042444180988037e+00 2.030853109979759998e-05
          27 1.317068451528441653e+00 1.317043407416079059e+00 1.957919273136198089e-05
