#   N_BLOCK:  ACCEPTANCE:
           1     0.613431
           2     0.613407
           3     0.613399
           4     0.613321
           5     0.613331
           6     0.613374
           7      0.61334
           8     0.613353
           9     0.613307
          10     0.613316
          11     0.613349
          12     0.613364
          13     0.613421
          14     0.613549
          15     0.613516
          16     0.613508
          17     0.613505
          18     0.613517
          19     0.613514
          20     0.613515
          21     0.613591
          22     0.613578
          23     0.613595
          24     0.613567
          25     0.613579
          26     0.613583
          27     0.613586
          28     0.613588
          29     0.613574
          30     0.613596
          31     0.613566
          32     0.613566
          33     0.613544
          34     0.613531
          35      0.61354
          36     0.613575
          37     0.613543
          38     0.613562
          39     0.613571
          40      0.61357
          41     0.613538
          42     0.613546
          43     0.613569
          44     0.613591
          45     0.613583
          46     0.613609
          47     0.613608
          48     0.613608
          49     0.613612
          50     0.613596
          51     0.613592
          52     0.613577
          53     0.613583
          54     0.613577
          55     0.613572
          56     0.613594
          57     0.613595
          58     0.613585
          59     0.613593
          60     0.613593
          61     0.613613
          62     0.613626
          63     0.613626
          64     0.613642
          65     0.613623
          66     0.613651
          67     0.613677
          68     0.613671
          69     0.613665
          70     0.613695
          71     0.613697
          72     0.613687
          73     0.613675
          74     0.613682
          75     0.613692
          76     0.613712
          77      0.61372
          78      0.61371
          79     0.613707
          80     0.613707
          81     0.613714
          82     0.613703
          83      0.61371
          84      0.61373
          85     0.613733
          86     0.613718
          87     0.613736
          88     0.613738
          89     0.613743
          90     0.613755
          91      0.61375
          92     0.613749
          93     0.613752
          94     0.613774
          95     0.613798
          96     0.613811
          97       0.6138
          98     0.613796
          99     0.613791
         100     0.613799
