# DISTANCE:     AVE_GOFR:        ERROR:
3.231652035047825194e-02 0.000000000000000000e+00 0.000000000000000000e+00
9.694956105143476277e-02 0.000000000000000000e+00 0.000000000000000000e+00
1.615826017523912528e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.262156424533477705e-01 0.000000000000000000e+00 0.000000000000000000e+00
2.908486831543042883e-01 0.000000000000000000e+00 0.000000000000000000e+00
3.554817238552607783e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.201147645562172683e-01 0.000000000000000000e+00 0.000000000000000000e+00
4.847478052571737583e-01 0.000000000000000000e+00 0.000000000000000000e+00
5.493808459581303039e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.140138866590867384e-01 0.000000000000000000e+00 0.000000000000000000e+00
6.786469273600432839e-01 0.000000000000000000e+00 0.000000000000000000e+00
7.432799680609998294e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.079130087619562639e-01 0.000000000000000000e+00 0.000000000000000000e+00
8.725460494629128094e-01 9.085358753153699105e-04 3.916643088013698062e-05
9.371790901638693549e-01 1.377901009727631187e-01 5.116025017500195693e-04
1.001812130864825789e+00 9.972285184152659410e-01 1.330953171805038032e-03
1.066445171565782335e+00 1.920246518913899747e+00 2.232524908335802461e-03
1.131078212266738880e+00 2.144386708818926124e+00 2.149696515345804210e-03
1.195711252967695426e+00 1.976607958745704163e+00 2.492779730717953682e-03
1.260344293668651749e+00 1.741542729434726544e+00 1.812739703980699750e-03
1.324977334369608295e+00 1.539252476700594841e+00 1.631396904537164806e-03
1.389610375070564841e+00 1.388918607912259517e+00 1.248519599121162855e-03
1.454243415771521386e+00 1.278007156529726185e+00 1.117305011595064179e-03
1.518876456472477932e+00 1.198364880679442468e+00 1.115248823257055082e-03
1.583509497173434255e+00 1.139609127278231604e+00 9.513944173675303395e-04
1.648142537874390801e+00 1.098195013437749390e+00 9.391961952006838482e-04
1.712775578575347346e+00 1.070191744278095713e+00 9.149915808275988893e-04
1.777408619276303892e+00 1.051610014462642351e+00 8.050036531761922687e-04
1.842041659977260437e+00 1.038750214550375084e+00 7.677705404617865201e-04
1.906674700678216761e+00 1.030537993579495826e+00 7.491753250622753104e-04
1.971307741379173306e+00 1.026315433861269000e+00 7.179723704658463575e-04
2.035940782080130074e+00 1.024981610071060700e+00 7.380335325032490960e-04
2.100573822781086175e+00 1.022500198663703008e+00 6.423476254942947408e-04
2.165206863482042721e+00 1.021867439171898040e+00 7.304557724058635248e-04
2.229839904182999266e+00 1.017841772553226276e+00 5.701368750655431972e-04
2.294472944883955812e+00 1.013411697690367763e+00 6.066007210054324408e-04
2.359105985584912357e+00 1.009456866730940483e+00 6.098498034178111019e-04
2.423739026285868903e+00 1.004847036934480853e+00 6.045070114367337259e-04
2.488372066986825448e+00 1.000453390709906243e+00 4.961829917792837672e-04
2.553005107687781994e+00 9.954628678142859455e-01 4.814898688088580653e-04
2.617638148388738539e+00 9.924806407061211866e-01 4.796224566886793015e-04
2.682271189089695085e+00 9.896822223473781266e-01 5.356784813246542225e-04
2.746904229790651630e+00 9.863130650596678706e-01 4.891920315436516439e-04
2.811537270491607732e+00 9.840681422763610797e-01 4.330833452565329583e-04
2.876170311192564277e+00 9.834989635160179544e-01 4.834732074315065934e-04
