#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1                  1.8                  1.8                    0
           2                  1.8                  1.8                    0
           3                  1.8                  1.8                    0
           4                  1.8                  1.8                    0
           5                  1.8                  1.8                    0
           6                  1.8                  1.8                    0
           7                  1.8                  1.8          7.96501e-09
           8                  1.8                  1.8          7.45058e-09
           9                  1.8                  1.8          7.02447e-09
          10                  1.8                  1.8            6.664e-09
          11                  1.8                  1.8          1.10052e-08
          12                  1.8                  1.8          1.05367e-08
          13                  1.8                  1.8          1.01233e-08
          14                  1.8                  1.8          1.25938e-08
          15                  1.8                  1.8          1.21667e-08
          16                  1.8                  1.8          1.17804e-08
          17                  1.8                  1.8          1.14287e-08
          18                  1.8                  1.8          8.60319e-09
          19                  1.8                  1.8          8.37373e-09
          20                  1.8                  1.8          4.71216e-09
          21                  1.8                  1.8           4.5986e-09
          22                  1.8                  1.8          6.35388e-09
          23                  1.8                  1.8          6.21421e-09
          24                  1.8                  1.8          9.61866e-09
          25                  1.8                  1.8          9.42432e-09
          26                  1.8                  1.8          1.01233e-08
          27                  1.8                  1.8          1.14709e-08
          28                  1.8                  1.8          1.19475e-08
          29                  1.8                  1.8          1.17397e-08
          30                  1.8                  1.8          1.27606e-08
          31                  1.8                  1.8          1.31113e-08
          32                  1.8                  1.8          1.29048e-08
          33                  1.8                  1.8          1.27078e-08
          34                  1.8                  1.8          1.30307e-08
          35                  1.8                  1.8           1.3328e-08
          36                  1.8                  1.8          1.26636e-08
          37                  1.8                  1.8          1.24913e-08
          38                  1.8                  1.8          1.23258e-08
          39                  1.8                  1.8           1.2626e-08
          40                  1.8                  1.8          1.24672e-08
          41                  1.8                  1.8          1.23142e-08
          42                  1.8                  1.8          1.21667e-08
          43                  1.8                  1.8          1.24465e-08
          44                  1.8                  1.8          1.23042e-08
          45                  1.8                  1.8          1.21667e-08
          46                  1.8                  1.8          1.20338e-08
          47                  1.8                  1.8          1.26739e-08
          48                  1.8                  1.8          1.25412e-08
          49                  1.8                  1.8          1.24126e-08
          50                  1.8                  1.8          1.26441e-08
          51                  1.8                  1.8          1.25195e-08
          52                  1.8                  1.8          1.23985e-08
          53                  1.8                  1.8           1.2281e-08
          54                  1.8                  1.8          1.21667e-08
          55                  1.8                  1.8          1.20556e-08
          56                  1.8                  1.8          1.19475e-08
          57                  1.8                  1.8          1.24828e-08
          58                  1.8                  1.8          1.23747e-08
          59                  1.8                  1.8          1.25724e-08
          60                  1.8                  1.8          1.24672e-08
          61                  1.8                  1.8          1.23646e-08
          62                  1.8                  1.8          1.22645e-08
          63                  1.8                  1.8          1.21667e-08
          64                  1.8                  1.8          1.20713e-08
          65                  1.8                  1.8          1.19781e-08
          66                  1.8                  1.8           1.1887e-08
          67                  1.8                  1.8           1.1798e-08
          68                  1.8                  1.8          1.17109e-08
          69                  1.8                  1.8          1.16257e-08
          70                  1.8                  1.8          1.15424e-08
          71                  1.8                  1.8          1.14608e-08
          72                  1.8                  1.8          1.16488e-08
          73                  1.8                  1.8          1.15687e-08
          74                  1.8                  1.8          1.09556e-08
          75                  1.8                  1.8          1.03238e-08
          76                  1.8                  1.8          9.96673e-09
          77                  1.8                  1.8           9.9018e-09
          78                  1.8                  1.8          9.24131e-09
          79                  1.8                  1.8          8.54857e-09
          80                  1.8                  1.8          7.45058e-09
          81                  1.8                  1.8          7.40445e-09
          82                  1.8                  1.8          6.58223e-09
          83                  1.8                  1.8          6.11991e-09
          84                  1.8                  1.8          6.08337e-09
          85                  1.8                  1.8          5.11106e-09
          86                  1.8                  1.8          5.56623e-09
          87                  1.8                  1.8          4.51862e-09
          88                  1.8                  1.8          3.17694e-09
          89                  1.8                  1.8          3.15904e-09
          90                  1.8                  1.8                    0
          91                  1.8                  1.8                    0
          92                  1.8                  1.8          2.19706e-09
          93                  1.8                  1.8          2.18521e-09
          94                  1.8                  1.8          3.76471e-09
          95                  1.8                  1.8          3.74485e-09
          96                  1.8                  1.8          4.80933e-09
          97                  1.8                  1.8          4.78447e-09
          98                  1.8                  1.8          5.63211e-09
          99                  1.8                  1.8          5.60359e-09
         100                  1.8                  1.8           5.5755e-09
