#     BLOCK:  ACTUAL_PE:     PE_AVE:      ERROR:
           1 -4.135687797044525493e-01 -4.135687797044525493e-01 0.000000000000000000e+00
           2 -4.163293529875116139e-01 -4.149490663459820539e-01 9.760100442156949361e-04
           3 -4.145027741626242657e-01 -4.148003022848628096e-01 6.619136315693566848e-04
           4 -4.156932930214093380e-01 -4.150235499689994834e-01 5.327547068295112372e-04
           5 -4.159112941867401658e-01 -4.152010988125476310e-01 4.548280149321190752e-04
           6 -4.125833224874508320e-01 -4.147648027583648034e-01 5.498065439081887933e-04
           7 -4.158041086121143093e-01 -4.149132750231862010e-01 4.909006518559886267e-04
           8 -4.143030202499800030e-01 -4.148369931765354401e-01 4.354245158607829747e-04
           9 -4.166177780064910796e-01 -4.150348581576416285e-01 4.296551621935222089e-04
          10 -4.139794944211556138e-01 -4.149293217839929993e-01 3.994408790483360591e-04
          11 -4.141307878021193711e-01 -4.148567277856409219e-01 3.696658009376143869e-04
          12 -4.141828385973766458e-01 -4.148005703532855470e-01 3.430993547625811038e-04
          13 -4.117346046633449941e-01 -4.145647268386747353e-01 3.894186956626732366e-04
          14 -4.115348668113041897e-01 -4.143483082652911209e-01 4.174305720778929171e-04
          15 -4.149124822965630233e-01 -4.143859198673759403e-01 3.912926510319093788e-04
          16 -4.159165382179769721e-01 -4.144815835142884874e-01 3.783501613780237451e-04
          17 -4.148263585430037037e-01 -4.145018643983305884e-01 3.566374182441922440e-04
          18 -4.159512007354080332e-01 -4.145823830837238044e-01 3.457942140302021068e-04
          19 -4.156562675206437185e-01 -4.146389033172458993e-01 3.321815345088404781e-04
          20 -4.132350209133570651e-01 -4.145687091970514659e-01 3.229037471059465337e-04
          21 -4.112962780756617698e-01 -4.144128791436519355e-01 3.430739866063392692e-04
          22 -4.152739837350098995e-01 -4.144520202614409010e-01 3.297049482622045982e-04
          23 -4.143519063022030324e-01 -4.144476674806044647e-01 3.153986820163248630e-04
          24 -4.145259090294129978e-01 -4.144509275451381813e-01 3.022739183464467233e-04
          25 -4.132627829557483645e-01 -4.144034017615625398e-01 2.938953951848133849e-04
          26 -4.145427406733213638e-01 -4.144087609504763514e-01 2.826405843780901528e-04
          27 -4.122358797123634733e-01 -4.143282838675833024e-01 2.833981501481821087e-04
          28 -4.141286179716398563e-01 -4.143211529427281437e-01 2.733664878522432877e-04
          29 -4.140986360265194177e-01 -4.143134799456175132e-01 2.640477201758529820e-04
          30 -4.138767260888291388e-01 -4.142989214837245471e-01 2.556471601230820710e-04
          31 -4.166634315120683607e-01 -4.143751960007678870e-01 2.585287744281832044e-04
          32 -4.144856607533152770e-01 -4.143786480242850345e-01 2.504727958557670950e-04
          33 -4.157521353178409429e-01 -4.144202688513625166e-01 2.463164851940514446e-04
          34 -4.156967456498126268e-01 -4.144578122866110492e-01 2.419161393132148873e-04
          35 -4.124452323883846527e-01 -4.144003100038045617e-01 2.417416763408825118e-04
          36 -4.122880524750077713e-01 -4.143416361835601802e-01 2.420423632997055973e-04
          37 -4.150108685354398363e-01 -4.143597235444217985e-01 2.361755277459399473e-04
          38 -4.144167727518888733e-01 -4.143612248393551134e-01 2.299651538657135439e-04
          39 -4.151022528908430154e-01 -4.143802255586240268e-01 2.248522022635166125e-04
          40 -4.136126153741623845e-01 -4.143610353040124705e-01 2.200482799659238481e-04
          41 -4.162434852849853928e-01 -4.144069487181826217e-01 2.194189246955861666e-04
          42 -4.116161801935743769e-01 -4.143405018485490920e-01 2.240299473994569735e-04
          43 -4.149101390918206733e-01 -4.143537492262995836e-01 2.192112718354354537e-04
          44 -4.121237106154609919e-01 -4.143030665305987292e-01 2.200102368946765124e-04
          45 -4.137517427092116118e-01 -4.142908148901234822e-01 2.154619770921962585e-04
          46 -4.143916842208506535e-01 -4.142930077016609980e-01 2.107891791750242817e-04
          47 -4.132247215496544501e-01 -4.142702782090650904e-01 2.075261505328692422e-04
          48 -4.146005911397608323e-01 -4.142771597284545249e-01 2.033167518531205499e-04
          49 -4.133032731256361392e-01 -4.142572844916623254e-01 2.001365249752993798e-04
          50 -4.154353701009836364e-01 -4.142808462038487516e-01 1.975158639973027613e-04
          51 -4.142781733464948046e-01 -4.142807937948810304e-01 1.936430108706104717e-04
          52 -4.153647691918304075e-01 -4.143016394755915655e-01 1.910378312102171050e-04
          53 -4.137672109881305182e-01 -4.142915559192243413e-01 1.876992755294318912e-04
          54 -4.150635822261004027e-01 -4.143058527026849958e-01 1.847670434663464226e-04
          55 -4.146034001664229418e-01 -4.143112626565711998e-01 1.814868267467647882e-04
          56 -4.134852146789794736e-01 -4.142965117998284597e-01 1.788444447777795185e-04
          57 -4.133706201111680412e-01 -4.142802680859922759e-01 1.764429561511631980e-04
          58 -4.158294036285857254e-01 -4.143069773194852368e-01 1.754107563567671780e-04
          59 -4.146994885075487858e-01 -4.143136300514863035e-01 1.725638042988709205e-04
          60 -4.153009134931939239e-01 -4.143300847755148064e-01 1.704704511619983712e-04
          61 -4.108205229464959030e-01 -4.142725509750390112e-01 1.771187892871310221e-04
          62 -4.109946559899309015e-01 -4.142196817010856957e-01 1.819816848207841237e-04
          63 -4.144933857636025065e-01 -4.142240262100145287e-01 1.791449380923067474e-04
          64 -4.133952286733622583e-01 -4.142110762485043396e-01 1.768132398690979215e-04
          65 -4.163324110528704436e-01 -4.142437121685715318e-01 1.770793672900544257e-04
          66 -4.098065963926954547e-01 -4.141764831416642756e-01 1.867226467719910316e-04
          67 -4.113251828911836383e-01 -4.141339264215078697e-01 1.887230788871765920e-04
          68 -4.147981707059960055e-01 -4.141436947198091634e-01 1.862003712234001635e-04
          69 -4.152591050724349087e-01 -4.141598600872384850e-01 1.842021933172997047e-04
          70 -4.097719211958380514e-01 -4.140971752459327582e-01 1.919405804641884431e-04
          71 -4.145111518997064981e-01 -4.141030059030281762e-01 1.893257314149797237e-04
          72 -4.157574236555291458e-01 -4.141259839273684351e-01 1.880854334055408661e-04
          73 -4.163754678419870348e-01 -4.141567987755138680e-01 1.880162410414517964e-04
          74 -4.133389357789202245e-01 -4.141457465728572429e-01 1.858000391640702242e-04
          75 -4.117226842497488382e-01 -4.141134390752158057e-01 1.861103750289448211e-04
          76 -4.125812651905114703e-01 -4.140932788925222874e-01 1.847502413911472153e-04
          77 -4.148227267461878087e-01 -4.141027522412711881e-01 1.825936062313721683e-04
          78 -4.159720940742406281e-01 -4.141267181622066973e-01 1.818186570969064410e-04
          79 -4.134263337097278113e-01 -4.141178525362260165e-01 1.797331727122642581e-04
          80 -4.132850476525943284e-01 -4.141074424751806093e-01 1.777877253781570601e-04
          81 -4.148764774253992926e-01 -4.141169367338252694e-01 1.758461396836351386e-04
          82 -4.174280391633076737e-01 -4.141573160317457702e-01 1.782775236853710967e-04
          83 -4.126382598603892116e-01 -4.141390141501631317e-01 1.770665406565992720e-04
          84 -4.129589593662945091e-01 -4.141249658789266097e-01 1.755150083719763190e-04
          85 -4.127121261445983458e-01 -4.141083442349933197e-01 1.742354007873374419e-04
          86 -4.164787121032167971e-01 -4.141359066520656218e-01 1.743758394585718250e-04
          87 -4.138369455116124307e-01 -4.141324703171179178e-01 1.724053751815125802e-04
          88 -4.147215257710719083e-01 -4.141391641290946279e-01 1.705761206837636565e-04
          89 -4.149438237915867855e-01 -4.141482052488979493e-01 1.688989702906387779e-04
          90 -4.113819591906616724e-01 -4.141174691815842079e-01 1.697959446868570709e-04
          91 -4.159833274865272212e-01 -4.141379731190011904e-01 1.691635155041205170e-04
          92 -4.135820540286417879e-01 -4.141319305201929812e-01 1.674326690655343315e-04
          93 -4.130185675556609648e-01 -4.141199588754130301e-01 1.660597600124166383e-04
          94 -4.114559982353877543e-01 -4.140916188686042942e-01 1.666939004200153882e-04
          95 -4.121863654856974812e-01 -4.140715635698368202e-01 1.661412953747954714e-04
          96 -4.145326041016280105e-01 -4.140763660753763453e-01 1.644800532115748193e-04
          97 -4.180333164478456376e-01 -4.141171593781853288e-01 1.677667820385257268e-04
          98 -4.154031193879414996e-01 -4.141302814191011872e-01 1.665672621336494014e-04
          99 -4.147614409744859731e-01 -4.141366567681454836e-01 1.650067274241839160e-04
         100 -4.128727028670527988e-01 -4.141240172291345556e-01 1.638400402296806199e-04
