#     BLOCK:   ACTUAL_P:     P_AVE:       ERROR:
           1             0.042519             0.042519                    0
           2            0.0425074            0.0425132           4.1013e-06
           3            0.0426711            0.0425658          4.30614e-05
           4            0.0424348            0.0425331          4.29823e-05
           5            0.0426554            0.0425575          4.07626e-05
           6             0.042608            0.0425659          3.48245e-05
           7            0.0426234            0.0425742          3.08025e-05
           8            0.0426486            0.0425835           2.8324e-05
           9            0.0424595            0.0425697          2.83291e-05
          10            0.0427323             0.042586          2.98014e-05
          11            0.0427496            0.0426008          3.05816e-05
          12            0.0424902            0.0425916          2.93893e-05
          13            0.0426773            0.0425982          2.78577e-05
          14             0.042799            0.0426125          2.93282e-05
          15            0.0429455            0.0426347          3.47726e-05
          16            0.0428005            0.0426451          3.41084e-05
          17            0.0429248            0.0426616          3.58513e-05
          18            0.0428025            0.0426694          3.47039e-05
          19            0.0424265            0.0426566          3.51532e-05
          20            0.0426461            0.0426561          3.33994e-05
          21            0.0426339             0.042655          3.18257e-05
          22            0.0424884            0.0426474          3.12668e-05
          23            0.0424051            0.0426369          3.16337e-05
          24            0.0424261            0.0426281          3.15113e-05
          25            0.0425052            0.0426232          3.06322e-05
          26            0.0429731            0.0426367          3.22757e-05
          27            0.0426083            0.0426356          3.10974e-05
          28            0.0423368            0.0426249          3.17654e-05
          29            0.0427836            0.0426304          3.11377e-05
          30             0.042438             0.042624          3.07535e-05
          31            0.0422204             0.042611          3.24009e-05
          32            0.0428545            0.0426186          3.22698e-05
          33            0.0426785            0.0426204           3.1343e-05
          34            0.0424964            0.0426168          3.06324e-05
          35             0.042653            0.0426178          2.97747e-05
          36            0.0427738            0.0426221          2.92615e-05
          37            0.0424658            0.0426179          2.87741e-05
          38            0.0426343            0.0426183          2.80201e-05
          39            0.0426775            0.0426199          2.73427e-05
          40            0.0426005            0.0426194          2.66634e-05
          41            0.0426761            0.0426208           2.6049e-05
          42             0.042758             0.042624          2.56329e-05
          43            0.0425048            0.0426213          2.51862e-05
          44            0.0427589            0.0426244          2.48073e-05
          45            0.0428149            0.0426286          2.46148e-05
          46            0.0426034            0.0426281          2.40857e-05
          47            0.0426088            0.0426277          2.35768e-05
          48            0.0425339            0.0426257          2.31663e-05
          49              0.04274             0.042628          2.28106e-05
          50            0.0426012            0.0426275          2.23607e-05
          51            0.0427621            0.0426301          2.20774e-05
          52            0.0423646             0.042625          2.22355e-05
          53            0.0429429             0.042631          2.26103e-05
          54            0.0426962            0.0426322          2.22238e-05
          55            0.0426256            0.0426321            2.182e-05
          56            0.0427213            0.0426337          2.14884e-05
          57            0.0428801             0.042638          2.15418e-05
          58             0.042571            0.0426369          2.12013e-05
          59             0.042424            0.0426333          2.11469e-05
          60            0.0424841            0.0426308          2.09401e-05
          61            0.0422783             0.042625          2.13792e-05
          62            0.0427325            0.0426267          2.11046e-05
          63            0.0424908            0.0426246          2.08795e-05
          64             0.042992            0.0426303           2.1328e-05
          65            0.0426004            0.0426299          2.10048e-05
          66             0.042894            0.0426339          2.10643e-05
          67            0.0426653            0.0426343          2.07551e-05
          68             0.042893            0.0426381          2.07957e-05
          69            0.0427214            0.0426393          2.05292e-05
          70            0.0427105            0.0426404          2.02611e-05
          71            0.0426095            0.0426399          1.99804e-05
          72            0.0423873            0.0426364          2.00085e-05
          73            0.0426808             0.042637          1.97436e-05
          74            0.0425999            0.0426365          1.94832e-05
          75            0.0426127            0.0426362           1.9226e-05
          76            0.0428074            0.0426385          1.91046e-05
          77            0.0426249            0.0426383          1.88573e-05
          78            0.0424056            0.0426353          1.88499e-05
          79            0.0424211            0.0426326          1.88054e-05
          80            0.0427689            0.0426343          1.86473e-05
          81            0.0426855            0.0426349          1.84278e-05
          82            0.0425257            0.0426336          1.82512e-05
          83            0.0425676            0.0426328          1.80487e-05
          84            0.0427621            0.0426343          1.78993e-05
          85             0.042998            0.0426386          1.81929e-05
          86             0.042454            0.0426365          1.81075e-05
          87            0.0426691            0.0426368          1.79033e-05
          88            0.0425319            0.0426357          1.77395e-05
          89            0.0427005            0.0426364          1.75551e-05
          90            0.0428357            0.0426386          1.74992e-05
          91            0.0428362            0.0426408          1.74412e-05
          92            0.0425886            0.0426402          1.72608e-05
          93            0.0425771            0.0426395          1.70885e-05
          94            0.0425672            0.0426388           1.6924e-05
          95            0.0428383            0.0426409          1.68757e-05
          96            0.0424753            0.0426391          1.67878e-05
          97            0.0424702            0.0426374          1.67049e-05
          98            0.0427109            0.0426381          1.65512e-05
          99            0.0427305            0.0426391          1.64103e-05
         100            0.0426261            0.0426389          1.62467e-05
