#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1                  1.2                  1.2                    0
           2                  1.2                  1.2                    0
           3                  1.2                  1.2          8.60319e-09
           4                  1.2                  1.2                    0
           5                  1.2                  1.2                    0
           6                  1.2                  1.2          6.08337e-09
           7                  1.2                  1.2          5.63211e-09
           8                  1.2                  1.2          5.26836e-09
           9                  1.2                  1.2          4.96705e-09
          10                  1.2                  1.2          4.71216e-09
          11                  1.2                  1.2          4.49287e-09
          12                  1.2                  1.2          4.30159e-09
          13                  1.2                  1.2          4.13284e-09
          14                  1.2                  1.2           3.9825e-09
          15                  1.2                  1.2            6.664e-09
          16                  1.2                  1.2          6.45239e-09
          17                  1.2                  1.2          6.25974e-09
          18                  1.2                  1.2          8.60319e-09
          19                  1.2                  1.2          8.37373e-09
          20                  1.2                  1.2           8.1617e-09
          21                  1.2                  1.2          7.96501e-09
          22                  1.2                  1.2          8.98574e-09
          23                  1.2                  1.2          8.78823e-09
          24                  1.2                  1.2          8.60319e-09
          25                  1.2                  1.2          7.88495e-09
          26                  1.2                  1.2          7.73183e-09
          27                  1.2                  1.2          7.02447e-09
          28                  1.2                  1.2          5.63211e-09
          29                  1.2                  1.2          4.79272e-09
          30                  1.2                  1.2          4.71216e-09
          31                  1.2                  1.2          2.67633e-09
          32                  1.2                  1.2          2.63418e-09
          33                  1.2                  1.2          2.59396e-09
          34                  1.2                  1.2          5.11106e-09
          35                  1.2                  1.2          5.03751e-09
          36                  1.2                  1.2          4.96705e-09
          37                  1.2                  1.2          4.89947e-09
          38                  1.2                  1.2          6.83712e-09
          39                  1.2                  1.2           6.7489e-09
          40                  1.2                  1.2            6.664e-09
          41                  1.2                  1.2          6.58223e-09
          42                  1.2                  1.2           6.8979e-09
          43                  1.2                  1.2          7.53672e-09
          44                  1.2                  1.2          7.45058e-09
          45                  1.2                  1.2          7.02447e-09
          46                  1.2                  1.2          7.28681e-09
          47                  1.2                  1.2          7.20888e-09
          48                  1.2                  1.2          7.13339e-09
          49                  1.2                  1.2          7.06022e-09
          50                  1.2                  1.2          7.59813e-09
          51                  1.2                  1.2          7.52327e-09
          52                  1.2                  1.2          7.73183e-09
          53                  1.2                  1.2          7.65854e-09
          54                  1.2                  1.2           7.5873e-09
          55                  1.2                  1.2          7.51801e-09
          56                  1.2                  1.2          7.45058e-09
          57                  1.2                  1.2          7.38494e-09
          58                  1.2                  1.2            7.321e-09
          59                  1.2                  1.2          7.99868e-09
          60                  1.2                  1.2           8.1617e-09
          61                  1.2                  1.2          8.09453e-09
          62                  1.2                  1.2          8.02898e-09
          63                  1.2                  1.2          7.96501e-09
          64                  1.2                  1.2          7.90253e-09
          65                  1.2                  1.2          7.84151e-09
          66                  1.2                  1.2          7.78188e-09
          67                  1.2                  1.2          7.72359e-09
          68                  1.2                  1.2          7.66658e-09
          69                  1.2                  1.2          7.61083e-09
          70                  1.2                  1.2          7.76333e-09
          71                  1.2                  1.2          7.70846e-09
          72                  1.2                  1.2          8.04755e-09
          73                  1.2                  1.2          7.99224e-09
          74                  1.2                  1.2          7.93805e-09
          75                  1.2                  1.2          7.88495e-09
          76                  1.2                  1.2          7.83291e-09
          77                  1.2                  1.2          7.78188e-09
          78                  1.2                  1.2          7.73183e-09
          79                  1.2                  1.2          7.68274e-09
          80                  1.2                  1.2          7.63457e-09
          81                  1.2                  1.2           7.5873e-09
          82                  1.2                  1.2          7.54089e-09
          83                  1.2                  1.2          7.49533e-09
          84                  1.2                  1.2          7.45058e-09
          85                  1.2                  1.2          7.40662e-09
          86                  1.2                  1.2          7.53672e-09
          87                  1.2                  1.2          7.49328e-09
          88                  1.2                  1.2          7.45058e-09
          89                  1.2                  1.2          7.40861e-09
          90                  1.2                  1.2          7.36733e-09
          91                  1.2                  1.2          7.32674e-09
          92                  1.2                  1.2          7.76777e-09
          93                  1.2                  1.2          7.72589e-09
          94                  1.2                  1.2          7.68469e-09
          95                  1.2                  1.2          7.64413e-09
          96                  1.2                  1.2          7.60422e-09
          97                  1.2                  1.2          7.56492e-09
          98                  1.2                  1.2          7.52622e-09
          99                  1.2                  1.2          7.48812e-09
         100                  1.2                  1.2          7.45058e-09
