# DISTANCE:     AVE_GOFR:        ERROR:
   0.0323165                    0                    0
   0.0969496                    0                    0
    0.161583                    0                    0
    0.226216                    0                    0
    0.290849                    0                    0
    0.355482                    0                    0
    0.420115                    0                    0
    0.484748                    0                    0
    0.549381                    0                    0
    0.614014                    0                    0
    0.678647                    0                    0
     0.74328                    0                    0
    0.807913                    0                    0
    0.872546          0.000454268          0.000109857
    0.937179             0.130092           0.00346434
     1.00181              1.00924            0.0121581
     1.06645              1.93518             0.021229
     1.13108              2.14935            0.0272894
     1.19571               1.9712            0.0238834
     1.26034              1.73756            0.0178783
     1.32498              1.54737            0.0171045
     1.38961              1.39605            0.0166432
     1.45424              1.27789            0.0144954
     1.51888               1.2068            0.0136619
     1.58351              1.14275            0.0129467
     1.64814              1.10278            0.0116444
     1.71278              1.08035            0.0116153
     1.77741              1.06363            0.0124656
     1.84204              1.04404            0.0118355
     1.90667              1.03282            0.0111365
     1.97131              1.03602           0.00996569
     2.03594               1.0322           0.00943568
     2.10057              1.03269           0.00961554
     2.16521              1.03136           0.00927122
     2.22984              1.02212           0.00905761
     2.29447              1.01109           0.00894346
     2.35911              1.01291           0.00824045
     2.42374              1.00248           0.00705218
     2.48837               1.0008           0.00782394
     2.55301             0.990436           0.00693723
     2.61764             0.985828           0.00679213
     2.68227             0.981492           0.00643517
      2.7469             0.984239           0.00632729
     2.81154             0.980987            0.0064616
     2.87617              0.97921           0.00630294
      2.9408             0.979915           0.00662074
     3.00544             0.976603           0.00592577
     3.07007             0.978651           0.00583476
      3.1347             0.978463           0.00633018
     3.19934             0.979954           0.00641095
     3.26397             0.978226           0.00616204
      3.3286             0.974423           0.00547271
     3.39323             0.978846           0.00586596
     3.45787             0.978252           0.00538503
      3.5225             0.977479           0.00533229
     3.58713             0.977149           0.00600906
     3.65177             0.980577           0.00515338
      3.7164             0.975927           0.00498053
     3.78103             0.977585           0.00469741
     3.84567             0.978779           0.00455816
      3.9103             0.978145            0.0044567
     3.97493             0.979039           0.00459571
     4.03957             0.975757           0.00460849
      4.1042             0.972886           0.00420185
     4.16883             0.976203           0.00416727
     4.23346             0.981351            0.0044005
      4.2981             0.978538           0.00395531
     4.36273             0.978497           0.00380808
     4.42736             0.977465           0.00409194
       4.492             0.976923           0.00416723
     4.55663             0.980302           0.00390938
     4.62126             0.979291           0.00364284
      4.6859             0.978465           0.00381128
     4.75053             0.982249           0.00341371
     4.81516             0.981939           0.00335635
     4.87979             0.982572           0.00347469
     4.94443             0.980063           0.00319291
     5.00906             0.979157           0.00323278
     5.07369             0.975949           0.00322869
     5.13833             0.979481           0.00317831
     5.20296             0.980155           0.00297511
     5.26759             0.976445           0.00312938
     5.33223             0.977574           0.00299508
     5.39686              0.97928           0.00292186
     5.46149             0.975919           0.00297174
     5.52612             0.977901           0.00320395
     5.59076             0.976861           0.00279422
     5.65539             0.977307           0.00276118
     5.72002              0.97455           0.00244267
     5.78466              0.97735           0.00246016
     5.84929             0.977115           0.00273293
     5.91392              0.97855           0.00266299
     5.97856             0.977938            0.0026887
     6.04319              0.97579           0.00257745
     6.10782             0.979785            0.0024649
     6.17246              0.98067            0.0026405
     6.23709             0.981293           0.00284566
     6.30172             0.981455           0.00265283
     6.36635             0.978404           0.00251695
     6.43099             0.975591            0.0025413
