   POSITION:     NORM_DISTRIB:
          -2    0.0089758
       -1.98      0.01028
       -1.96     0.013539
       -1.94     0.011934
       -1.92     0.017199
        -1.9     0.018052
       -1.88     0.018102
       -1.86     0.024621
       -1.84      0.02452
       -1.82     0.033296
        -1.8     0.031992
       -1.78     0.033045
       -1.76     0.037408
       -1.74     0.042572
       -1.72      0.04538
        -1.7     0.048439
       -1.68      0.04859
       -1.66      0.05927
       -1.64     0.059521
       -1.62     0.070904
        -1.6     0.078425
       -1.58     0.077573
       -1.56     0.088404
       -1.54     0.092516
       -1.52      0.10505
        -1.5      0.11689
       -1.48      0.11934
       -1.46      0.12982
       -1.44      0.14191
       -1.42      0.15214
        -1.4      0.16066
       -1.38      0.16407
       -1.36      0.18062
       -1.34      0.17626
       -1.32      0.19636
        -1.3      0.20639
       -1.28      0.21005
       -1.26      0.22535
       -1.24      0.23026
       -1.22      0.24856
        -1.2      0.25503
       -1.18       0.2777
       -1.16      0.27349
       -1.14      0.28417
       -1.12       0.2954
        -1.1      0.30122
       -1.08      0.30608
       -1.06      0.31636
       -1.04      0.33607
       -1.02      0.34073
          -1      0.34168
       -0.98      0.35647
       -0.96      0.37292
       -0.94      0.37297
       -0.92      0.37909
        -0.9      0.38656
       -0.88      0.38716
       -0.86      0.39223
       -0.84      0.38736
       -0.82      0.39679
        -0.8      0.39158
       -0.78      0.39619
       -0.76      0.41299
       -0.74      0.39804
       -0.72      0.41539
        -0.7      0.40241
       -0.68      0.41364
       -0.66      0.39835
       -0.64      0.41845
       -0.62      0.40246
        -0.6      0.40958
       -0.58       0.3985
       -0.56      0.39734
       -0.54      0.40095
       -0.52       0.3838
        -0.5      0.37468
       -0.48      0.37673
       -0.46      0.37267
       -0.44       0.3636
       -0.42      0.37969
        -0.4      0.36334
       -0.38      0.36425
       -0.36      0.35106
       -0.34      0.34554
       -0.32      0.34018
        -0.3      0.35813
       -0.28      0.34494
       -0.26      0.33371
       -0.24      0.32759
       -0.22      0.31636
        -0.2      0.32388
       -0.18      0.31696
       -0.16      0.31987
       -0.14      0.30989
       -0.12      0.31044
        -0.1      0.31435
       -0.08       0.3115
       -0.06      0.30804
       -0.04      0.31496
       -0.02      0.30984
           0      0.30949
        0.02      0.31651
        0.04      0.30553
        0.06       0.3145
        0.08      0.30859
         0.1      0.31195
        0.12      0.31315
        0.14       0.3137
        0.16      0.31922
        0.18      0.32193
         0.2      0.33231
        0.22      0.33421
        0.24       0.3315
        0.26      0.32829
        0.28      0.34098
         0.3      0.35271
        0.32      0.35061
        0.34       0.3494
        0.36      0.36485
        0.38       0.3666
         0.4      0.37302
        0.42      0.37764
        0.44      0.37713
        0.46      0.37568
        0.48      0.39313
         0.5      0.37182
        0.52      0.38726
        0.54      0.39504
        0.56      0.39604
        0.58      0.40186
         0.6      0.40888
        0.62      0.39203
        0.64      0.38581
        0.66      0.41695
        0.68      0.40677
         0.7      0.40206
        0.72      0.41073
        0.74      0.41795
        0.76      0.40812
        0.78      0.40682
         0.8      0.39213
        0.82      0.40812
        0.84       0.3984
        0.86      0.38466
        0.88      0.37026
         0.9      0.38792
        0.92      0.36194
        0.94      0.36339
        0.96      0.35743
        0.98      0.35317
           1      0.33481
        1.02      0.33792
        1.04      0.33446
        1.06      0.31726
        1.08      0.30513
         1.1      0.28883
        1.12      0.29038
        1.14       0.2778
        1.16      0.26872
        1.18      0.25082
         1.2      0.25228
        1.22      0.22906
        1.24      0.22821
        1.26      0.21773
        1.28      0.19411
         1.3      0.19536
        1.32      0.17967
        1.34      0.16688
        1.36      0.16563
        1.38      0.14823
         1.4      0.13714
        1.42      0.13629
        1.44      0.12842
        1.46      0.11859
        1.48      0.11237
         1.5      0.10219
        1.52     0.092717
        1.54     0.089758
        1.56     0.078275
        1.58     0.073411
         1.6     0.063733
        1.62     0.068597
        1.64     0.059621
        1.66     0.052351
        1.68     0.053805
         1.7     0.043726
        1.72     0.045782
        1.74      0.03821
        1.76      0.03465
        1.78     0.032042
         1.8     0.029635
        1.82     0.024169
        1.84     0.023668
        1.86     0.018954
        1.88     0.016848
         1.9     0.015645
        1.92     0.015645
        1.94     0.011684
        1.96     0.011333
        1.98    0.0096277
