#     BLOCK:   ACTUAL_E:    E_AVE:      ERROR:
           1     -0.42649     -0.42649            0
           2     -0.44612      -0.4363    0.0069402
           3     -0.43539       -0.436    0.0046335
           4     -0.44064     -0.43716    0.0036177
           5     -0.45095     -0.43992     0.003803
           6     -0.45586     -0.44257    0.0039905
           7     -0.45424     -0.44424    0.0037526
           8     -0.43459     -0.44303    0.0034719
           9     -0.42494     -0.44102    0.0036219
          10     -0.43833     -0.44075    0.0032698
          11     -0.45164     -0.44174    0.0031187
          12      -0.4343     -0.44112    0.0029198
          13      -0.4407     -0.44109    0.0026954
          14     -0.44254     -0.44119    0.0025049
          15     -0.44358     -0.44135    0.0023429
          16     -0.43434     -0.44092    0.0022371
          17     -0.43845     -0.44077    0.0021102
          18     -0.44866     -0.44121     0.002038
          19     -0.44011     -0.44115    0.0019315
          20     -0.43439     -0.44081    0.0018643
          21     -0.43551     -0.44056    0.0017926
          22     -0.45343     -0.44115    0.0018041
          23     -0.45138     -0.44159    0.0017797
          24     -0.44494     -0.44173     0.001711
          25     -0.44005     -0.44166    0.0016439
          26     -0.43623     -0.44145    0.0015939
          27     -0.44534      -0.4416    0.0015414
          28     -0.42072     -0.44085    0.0016568
          29      -0.4425     -0.44091    0.0016006
          30     -0.44977      -0.4412    0.0015743
          31     -0.42585     -0.44071    0.0015996
          32     -0.45381     -0.44112    0.0016011
          33     -0.44703      -0.4413    0.0015626
          34     -0.46353     -0.44195    0.0016478
          35     -0.43234     -0.44168    0.0016235
          36     -0.45234     -0.44197    0.0016052
          37     -0.43669     -0.44183    0.0015681
          38     -0.44433      -0.4419    0.0015282
          39      -0.4445     -0.44196    0.0014905
          40     -0.43836     -0.44187     0.001456
          41     -0.45587     -0.44221    0.0014599
          42     -0.44063     -0.44218    0.0014256
          43     -0.43706     -0.44206    0.0013974
          44     -0.44208     -0.44206    0.0013657
          45     -0.43762     -0.44196    0.0013389
          46     -0.42968     -0.44169    0.0013361
          47     -0.43774     -0.44161    0.0013103
          48     -0.45898     -0.44197    0.0013321
          49     -0.45258     -0.44219    0.0013224
          50     -0.45069     -0.44236    0.0013068
          51     -0.44554     -0.44242    0.0012827
          52     -0.45287     -0.44262    0.0012736
          53     -0.43954     -0.44256    0.0012509
          54     -0.44141     -0.44254    0.0012279
          55     -0.42451     -0.44221    0.0012486
          56     -0.45389     -0.44242    0.0012436
          57     -0.44338     -0.44244    0.0012219
          58      -0.4386     -0.44237    0.0012026
          59     -0.43734     -0.44229    0.0011853
          60     -0.45967     -0.44258    0.0012004
          61     -0.44628     -0.44264    0.0011822
          62     -0.44735     -0.44271    0.0011656
          63     -0.43487     -0.44259    0.0011538
          64     -0.43136     -0.44241     0.001149
          65     -0.44005     -0.44238    0.0011319
          66     -0.44375      -0.4424    0.0011149
          67     -0.46196     -0.44269    0.0011358
          68     -0.45458     -0.44286    0.0011325
          69     -0.44056     -0.44283    0.0011166
          70     -0.44349     -0.44284    0.0011007
          71     -0.43653     -0.44275    0.0010888
          72     -0.43983     -0.44271    0.0010744
          73     -0.44298     -0.44271    0.0010597
          74     -0.45447     -0.44287    0.0010572
          75      -0.4488     -0.44295    0.0010461
          76     -0.45288     -0.44308    0.0010404
          77     -0.43965     -0.44304    0.0010278
          78     -0.45406     -0.44318    0.0010243
          79     -0.45712     -0.44336    0.0010265
          80     -0.45248     -0.44347    0.0010199
          81     -0.43514     -0.44337    0.0010125
          82     -0.43522     -0.44327     0.001005
          83     -0.44343     -0.44327   0.00099293
          84     -0.43266     -0.44314   0.00098911
          85     -0.45391     -0.44327   0.00098555
          86     -0.44451     -0.44328    0.0009742
          87     -0.46013     -0.44348   0.00098206
          88      -0.4554     -0.44361    0.0009802
          89     -0.42832     -0.44344   0.00098413
          90     -0.44494     -0.44346   0.00097334
          91     -0.44363     -0.44346   0.00096264
          92     -0.45917     -0.44363   0.00096721
          93     -0.44929     -0.44369   0.00095872
          94      -0.4563     -0.44383   0.00095786
          95     -0.42562     -0.44363   0.00096675
          96     -0.43965     -0.44359   0.00095757
          97     -0.44228     -0.44358   0.00094779
          98     -0.45096     -0.44365    0.0009411
          99     -0.43952     -0.44361   0.00093252
         100     -0.43888     -0.44357    0.0009244
