#   N_BLOCK:  ACCEPTANCE:
           1       0.6504
           2       0.6505
           3      0.64857
           4      0.64582
           5      0.64598
           6       0.6468
           7       0.6475
           8      0.64802
           9      0.64897
          10      0.64887
          11      0.64871
          12      0.64865
          13      0.64877
          14      0.64811
          15      0.64772
          16      0.64841
          17      0.64819
          18      0.64818
          19      0.64866
          20      0.64866
          21      0.64844
          22       0.6485
          23      0.64887
          24      0.64893
          25       0.6491
          26      0.64915
          27      0.64914
          28        0.649
          29      0.64901
          30      0.64916
          31      0.64931
          32      0.64937
          33      0.64955
          34      0.64976
          35      0.64987
          36      0.64987
          37      0.64979
          38      0.64982
          39      0.65002
          40      0.64992
          41      0.64989
          42       0.6501
          43      0.64999
          44      0.65004
          45      0.65016
          46      0.64997
          47      0.64997
          48      0.64994
          49      0.64993
          50      0.65011
          51         0.65
          52      0.64993
          53       0.6498
          54      0.64971
          55      0.64967
          56      0.64959
          57      0.64959
          58       0.6497
          59      0.64971
          60      0.64954
          61      0.64951
          62      0.64954
          63      0.64963
          64      0.64972
          65      0.64979
          66      0.64979
          67      0.64973
          68      0.64969
          69      0.64969
          70       0.6497
          71      0.64967
          72      0.64971
          73      0.64963
          74      0.64965
          75      0.64958
          76       0.6496
          77      0.64955
          78      0.64948
          79      0.64954
          80      0.64959
          81      0.64948
          82      0.64951
          83      0.64951
          84      0.64952
          85      0.64947
          86      0.64961
          87      0.64967
          88      0.64965
          89      0.64967
          90      0.64965
          91      0.64963
          92       0.6496
          93      0.64957
          94      0.64945
          95      0.64939
          96      0.64942
          97      0.64947
          98      0.64948
          99      0.64953
         100      0.64958
