     MU:      SIGMA:     E_MEASURED:    ERROR:
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.77534     0.61515    -0.44404   0.0020259
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
    -0.81313      0.6364    -0.44467   0.0029284
