   POSITION:     NORM_DISTRIB:
          -2   0.00017952
       -1.98   0.00020559
       -1.96   0.00027078
       -1.94   0.00023869
       -1.92   0.00034399
        -1.9   0.00036104
       -1.88   0.00036204
       -1.86   0.00049242
       -1.84   0.00049041
       -1.82   0.00066591
        -1.8   0.00063984
       -1.78    0.0006609
       -1.76   0.00074815
       -1.74   0.00085145
       -1.72   0.00090761
        -1.7   0.00096879
       -1.68   0.00097179
       -1.66    0.0011854
       -1.64    0.0011904
       -1.62    0.0014181
        -1.6    0.0015685
       -1.58    0.0015515
       -1.56    0.0017681
       -1.54    0.0018503
       -1.52     0.002101
        -1.5    0.0023377
       -1.48    0.0023869
       -1.46    0.0025965
       -1.44    0.0028382
       -1.42    0.0030427
        -1.4    0.0032132
       -1.38    0.0032814
       -1.36    0.0036124
       -1.34    0.0035251
       -1.32    0.0039273
        -1.3    0.0041279
       -1.28    0.0042011
       -1.26     0.004507
       -1.24    0.0046052
       -1.22    0.0049713
        -1.2    0.0051007
       -1.18     0.005554
       -1.16    0.0054697
       -1.14    0.0056833
       -1.12     0.005908
        -1.1    0.0060243
       -1.08    0.0061216
       -1.06    0.0063272
       -1.04    0.0067213
       -1.02    0.0068146
          -1    0.0068336
       -0.98    0.0071295
       -0.96    0.0074584
       -0.94    0.0074594
       -0.92    0.0075818
        -0.9    0.0077312
       -0.88    0.0077433
       -0.86    0.0078446
       -0.84    0.0077473
       -0.82    0.0079358
        -0.8    0.0078315
       -0.78    0.0079238
       -0.76    0.0082597
       -0.74    0.0079609
       -0.72    0.0083079
        -0.7    0.0080481
       -0.68    0.0082728
       -0.66    0.0079669
       -0.64    0.0083691
       -0.62    0.0080491
        -0.6    0.0081916
       -0.58    0.0079699
       -0.56    0.0079468
       -0.54    0.0080191
       -0.52    0.0076761
        -0.5    0.0074935
       -0.48    0.0075347
       -0.46    0.0074534
       -0.44    0.0072719
       -0.42    0.0075938
        -0.4    0.0072669
       -0.38    0.0072849
       -0.36    0.0070212
       -0.34    0.0069109
       -0.32    0.0068036
        -0.3    0.0071626
       -0.28    0.0068988
       -0.26    0.0066742
       -0.24    0.0065518
       -0.22    0.0063272
        -0.2    0.0064776
       -0.18    0.0063392
       -0.16    0.0063974
       -0.14    0.0061978
       -0.12    0.0062089
        -0.1    0.0062871
       -0.08    0.0062299
       -0.06    0.0061607
       -0.04    0.0062991
       -0.02    0.0061968
           0    0.0061898
        0.02    0.0063302
        0.04    0.0061106
        0.06    0.0062901
        0.08    0.0061717
         0.1    0.0062389
        0.12     0.006263
        0.14     0.006274
        0.16    0.0063844
        0.18    0.0064385
         0.2    0.0066461
        0.22    0.0066842
        0.24    0.0066301
        0.26    0.0065659
        0.28    0.0068196
         0.3    0.0070543
        0.32    0.0070122
        0.34    0.0069881
        0.36     0.007297
        0.38    0.0073321
         0.4    0.0074604
        0.42    0.0075527
        0.44    0.0075427
        0.46    0.0075136
        0.48    0.0078626
         0.5    0.0074364
        0.52    0.0077453
        0.54    0.0079007
        0.56    0.0079208
        0.58    0.0080371
         0.6    0.0081775
        0.62    0.0078405
        0.64    0.0077162
        0.66     0.008339
        0.68    0.0081354
         0.7    0.0080411
        0.72    0.0082146
        0.74     0.008359
        0.76    0.0081625
        0.78    0.0081364
         0.8    0.0078425
        0.82    0.0081625
        0.84    0.0079679
        0.86    0.0076931
        0.88    0.0074053
         0.9    0.0077583
        0.92    0.0072388
        0.94    0.0072679
        0.96    0.0071486
        0.98    0.0070633
           1    0.0066963
        1.02    0.0067584
        1.04    0.0066892
        1.06    0.0063452
        1.08    0.0061025
         1.1    0.0057766
        1.12    0.0058077
        1.14     0.005556
        1.16    0.0053745
        1.18    0.0050164
         1.2    0.0050455
        1.22    0.0045812
        1.24    0.0045641
        1.26    0.0043545
        1.28    0.0038822
         1.3    0.0039072
        1.32    0.0035933
        1.34    0.0033376
        1.36    0.0033125
        1.38    0.0029645
         1.4    0.0027429
        1.42    0.0027258
        1.44    0.0025684
        1.46    0.0023718
        1.48    0.0022475
         1.5    0.0020439
        1.52    0.0018543
        1.54    0.0017952
        1.56    0.0015655
        1.58    0.0014682
         1.6    0.0012747
        1.62    0.0013719
        1.64    0.0011924
        1.66     0.001047
        1.68    0.0010761
         1.7   0.00087451
        1.72   0.00091563
        1.74    0.0007642
        1.76   0.00069299
        1.78   0.00064084
         1.8    0.0005927
        1.82   0.00048339
        1.84   0.00047336
        1.86   0.00037909
        1.88   0.00033697
         1.9    0.0003129
        1.92    0.0003129
        1.94   0.00023367
        1.96   0.00022665
        1.98   0.00019255
