     MU:      SIGMA:     E_MEASURED:    ERROR:
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
    -0.79971     0.63307    -0.44711   0.0025047
