     INDEX          x      y
       0      0.0839539       0.159259
       1       0.931865       0.754052
       2       0.501858       0.024284
       3       0.686006       0.369351
       4       0.651955       0.213852
       5        0.67838      0.0982145
       6        0.12096       0.680137
       7       0.577269       0.840005
       8      0.0527608       0.453507
       9       0.765764       0.970267
      10        0.22611        0.99461
      11       0.918855       0.939875
      12       0.813285      0.0179424
      13       0.133804      0.0534795
      14       0.713423       0.111777
      15       0.985475       0.399022
      16       0.272751       0.251365
      17        0.53815       0.282193
      18        0.48153     0.00588523
      19       0.214718      0.0178591
      20       0.114256       0.548522
      21       0.259028       0.140477
      22       0.902262       0.135893
      23       0.239596       0.831703
      24        0.74877       0.639112
      25       0.201218       0.159098
      26       0.674932      0.0642171
      27       0.399912       0.326858
      28        0.98646       0.343229
      29       0.436887      0.0286961
      30       0.845767       0.526464
      31       0.576023       0.853705
      32       0.701668       0.848058
      33       0.279945       0.936537
